序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
68,臺北市,2007/10/20,古亭,4.6,0.53,-,36.4,50,79,47.0,30.88,6.19,24.7,2.072,0.137,1.94,-,-,22.57,-,58.91,64.0,-
69,臺北市,2007/10/20,陽明,4.6,0.28,388.53,57.0,68,62,39.0,3.9,0.56,3.3,-,-,-,-,-,13.92,-,-,60.0,-
70,臺北市,2007/10/20,士林,6.1,0.39,-,51.0,67,87,48.0,14.0,1.61,12.38,-,-,-,-,-,22.09,-,53.15,68.0,-
71,臺北市,2007/10/20,萬華,4.3,0.59,-,39.5,59,74,43.0,25.84,3.75,22.1,-,-,-,-,-,23.14,-,53.39,62.0,-
72,臺北市,2007/10/20,中山,5.5,0.75,-,32.7,53,89,50.0,43.29,12.1,31.19,2.325,0.299,2.03,-,-,23.81,-,54.62,70.0,-
73,臺北市,2007/10/19,松山,3.1,0.42,387.0,44.4,59,46,24.0,22.54,2.85,19.69,2.006,0.157,1.85,-,-,22.48,-,58.84,58.0,-
74,臺北市,2007/10/19,古亭,3.1,0.58,-,32.6,46,54,29.0,38.65,9.79,28.86,2.111,0.181,1.93,-,-,22.92,-,62.49,52.0,-
75,臺北市,2007/10/19,陽明,1.8,0.16,383.98,56.9,63,31,20.0,2.63,1.64,0.95,-,-,-,-,-,14.44,-,-,59.0,-
76,臺北市,2007/10/19,士林,2.3,0.34,-,46.1,61,56,26.0,15.74,1.33,14.4,-,-,-,-,-,22.3,-,57.04,57.0,-
77,臺北市,2007/10/19,萬華,2.9,0.61,-,36.8,53,46,28.0,30.0,3.81,26.19,-,-,-,-,-,23.5,-,56.59,51.0,-
78,臺北市,2007/10/19,中山,3.3,0.65,-,31.4,43,56,30.0,41.98,9.3,32.67,2.226,0.271,1.95,-,-,24.32,-,56.42,53.0,-
79,臺北市,2007/10/18,松山,4.3,0.55,390.09,32.4,50,59,30.0,35.37,6.78,28.59,2.123,0.24,1.88,-,-,21.95,-,65.85,54.0,-
80,臺北市,2007/10/18,古亭,3.6,0.55,-,31.1,47,62,34.0,34.65,7.22,27.44,2.091,0.173,1.92,-,-,22.46,-,67.93,56.0,-
81,臺北市,2007/10/18,陽明,1.3,0.19,383.92,53.1,60,32,21.0,2.31,1.0,1.31,-,-,-,-,-,14.1,-,-,53.0,-
82,臺北市,2007/10/18,士林,2.9,0.3,-,51.1,63,56,29.0,10.6,1.27,9.33,-,-,-,-,-,22.1,-,60.49,57.0,-
83,臺北市,2007/10/18,萬華,3.7,0.75,-,29.7,48,60,33.0,38.95,7.95,30.99,-,-,-,-,-,23.18,-,61.35,55.0,-
84,臺北市,2007/10/18,中山,3.3,0.74,-,27.6,46,67,34.0,46.12,11.43,34.69,2.276,0.31,1.97,-,-,23.44,-,63.76,58.0,-
85,臺北市,2007/10/17,松山,3.4,0.43,385.39,42.8,50,57,30.0,21.54,2.66,18.88,1.983,0.151,1.83,-,-,22.17,-,66.82,54.0,-
86,臺北市,2007/10/17,古亭,3.0,0.65,-,27.6,31,61,34.0,35.75,6.51,29.24,2.085,0.184,1.9,-,-,22.53,-,70.23,56.0,-
87,臺北市,2007/10/17,陽明,1.7,0.23,384.48,54.2,59,38,24.0,3.62,1.47,2.15,-,-,-,-,-,14.38,-,97.28,53.0,-
88,臺北市,2007/10/17,士林,2.7,0.34,-,52.7,56,57,32.0,-,-,-,-,-,-,-,-,22.38,-,61.39,55.0,-
89,臺北市,2007/10/17,萬華,3.0,0.64,-,31.9,39,58,33.0,32.26,5.18,27.08,-,-,-,-,-,23.14,-,64.24,54.0,-
90,臺北市,2007/10/17,中山,2.6,0.71,-,31.1,39,67,30.0,38.22,7.92,30.3,2.219,0.273,1.95,-,-,23.46,-,65.81,58.0,-
91,臺北市,2007/10/16,松山,4.4,0.58,390.49,36.3,48,61,36.0,29.24,3.2,26.03,2.083,0.192,1.89,-,-,22.01,-,71.52,56.0,-
92,臺北市,2007/10/16,古亭,3.4,0.85,-,25.9,43,69,46.0,44.55,12.65,31.9,2.189,0.247,1.94,-,-,22.29,-,74.6,60.0,-
93,臺北市,2007/10/16,陽明,2.2,0.28,386.56,54.5,57,39,27.0,3.45,1.15,2.3,-,-,-,-,-,14.55,-,96.0,50.0,-
94,臺北市,2007/10/16,士林,2.8,0.47,-,49.5,61,56,35.0,14.54,1.04,13.48,-,-,-,-,-,22.32,-,64.48,55.0,-
95,臺北市,2007/10/16,萬華,3.5,0.83,-,29.3,43,69,40.0,40.38,9.73,30.65,-,-,-,-,-,23.0,-,68.0,60.0,-
96,臺北市,2007/10/16,中山,3.5,0.83,-,28.3,43,72,47.0,42.46,8.79,33.67,2.317,0.321,2.0,-,-,23.33,-,69.9,61.0,-
97,臺北市,2007/10/15,松山,3.9,0.61,390.42,27.0,35,50,25.0,36.35,8.67,27.68,2.136,0.226,1.91,-,-,22.27,-,75.2,50.0,-
98,臺北市,2007/10/15,古亭,3.5,0.6,-,27.8,33,53,30.0,33.16,7.65,25.52,2.09,0.164,1.93,-,-,22.96,-,74.89,52.0,-
99,臺北市,2007/10/15,陽明,2.0,0.26,384.96,51.1,59,29,20.0,2.8,1.29,1.51,-,-,-,-,-,15.22,-,95.07,52.0,-
100,臺北市,2007/10/15,士林,2.9,0.37,-,47.2,52,45,23.0,12.56,2.3,10.25,-,-,-,-,-,22.76,-,66.46,51.0,-
101,臺北市,2007/10/15,萬華,3.7,0.73,-,25.7,32,53,27.0,41.81,11.61,30.2,-,-,-,-,-,23.68,-,68.84,52.0,-
102,臺北市,2007/10/15,中山,4.1,0.78,-,24.5,30,54,28.0,39.49,10.43,29.06,2.297,0.293,2.0,-,-,23.82,-,72.2,52.0,-
103,臺北市,2007/10/14,松山,2.6,0.4,383.8,31.5,40,36,15.0,24.92,5.16,19.77,1.98,0.119,1.86,-,-,22.58,-,83.52,37.0,-
104,臺北市,2007/10/14,古亭,2.4,0.45,-,27.7,29,41,19.0,26.2,5.26,20.94,2.0,0.114,1.89,-,-,23.15,-,83.63,41.0,-
105,臺北市,2007/10/14,陽明,1.4,0.17,382.85,47.6,50,11,8.0,3.31,2.17,1.14,-,-,-,-,-,16.32,-,95.03,44.0,-
106,臺北市,2007/10/14,士林,1.9,0.28,-,45.5,47,28,14.0,8.96,1.66,7.27,-,-,-,-,-,23.76,-,68.77,42.0,-
107,臺北市,2007/10/14,萬華,1.7,0.55,-,27.2,29,35,16.0,32.75,7.57,25.18,-,-,-,-,-,23.87,-,77.27,35.0,-
108,臺北市,2007/10/14,中山,4.0,0.54,-,27.1,32,39,19.0,30.11,5.64,24.47,2.156,0.198,1.96,-,-,24.64,-,75.67,39.0,-
109,臺北市,2007/10/13,松山,3.4,0.46,386.03,32.3,35,41,18.0,25.57,4.47,21.11,1.973,0.119,1.85,-,-,23.96,-,77.93,41.0,-
110,臺北市,2007/10/13,古亭,4.4,0.52,-,27.8,30,48,27.0,29.45,6.72,22.74,2.003,0.124,1.88,-,-,24.63,-,78.58,48.0,-
111,臺北市,2007/10/13,陽明,1.1,0.24,384.97,47.9,51,16,10.0,3.54,1.33,2.21,-,-,-,-,-,17.17,-,93.76,45.0,-
112,臺北市,2007/10/13,士林,2.4,0.33,-,46.8,48,32,14.0,8.02,1.07,6.96,-,-,-,-,-,24.75,-,68.03,45.0,-
113,臺北市,2007/10/13,萬華,2.8,0.55,-,32.1,36,43,20.0,25.05,4.25,20.81,-,-,-,-,-,25.25,-,71.83,43.0,-
114,臺北市,2007/10/13,中山,1.7,0.59,-,29.7,36,45,19.0,27.35,5.2,22.15,2.136,0.196,1.94,-,-,25.56,-,74.54,45.0,-
115,臺北市,2007/10/12,松山,3.3,0.55,388.28,24.3,36,32,18.0,34.75,7.47,27.28,2.07,0.209,1.86,-,-,24.15,-,86.24,34.0,-
116,臺北市,2007/10/12,古亭,4.0,0.64,-,23.3,35,36,23.0,36.94,10.41,26.54,2.059,0.193,1.87,-,-,24.85,-,86.31,36.0,-
117,臺北市,2007/10/12,陽明,0.8,0.19,383.81,45.7,49,5,5.0,3.2,1.5,1.7,-,-,-,-,-,18.35,-,93.03,42.0,-
118,臺北市,2007/10/12,士林,2.5,0.41,-,33.6,38,31,16.0,15.99,1.75,14.23,-,-,-,-,-,25.02,-,75.67,38.0,-
119,臺北市,2007/10/12,萬華,3.0,0.65,-,24.4,36,37,19.0,35.69,8.74,26.95,-,-,-,-,-,25.57,-,79.45,37.0,-
120,臺北市,2007/10/12,中山,2.2,0.69,-,24.2,36,38,21.0,34.64,8.77,25.87,2.194,0.255,1.94,-,-,25.85,-,81.39,38.0,-
121,臺北市,2007/10/11,松山,4.6,0.46,385.87,26.1,32,39,18.0,30.88,7.17,23.71,2.036,0.19,1.85,-,-,24.22,-,79.68,39.0,-
122,臺北市,2007/10/11,士林,1.4,0.25,-,45.1,48,35,13.0,9.46,2.1,7.35,-,-,-,-,-,24.89,-,72.16,41.0,-
123,臺北市,2007/10/11,陽明,1.3,0.15,382.68,47.7,50,5,4.0,3.74,2.72,1.02,-,-,-,-,-,17.6,-,93.3,43.0,-
124,臺北市,2007/10/11,中山,4.5,0.56,-,26.3,33,46,19.0,32.44,8.53,23.91,2.14,0.222,1.92,-,-,26.04,-,75.71,46.0,-
125,臺北市,2007/10/11,萬華,3.4,0.49,-,29.1,34,40,17.0,28.79,6.42,22.37,-,-,-,-,-,25.76,-,73.29,40.0,-
126,臺北市,2007/10/11,古亭,2.9,0.49,-,29.1,37,41,22.0,28.68,7.53,21.16,2.013,0.155,1.86,-,-,25.14,-,78.91,41.0,-
127,臺北市,2007/10/10,松山,3.2,0.49,386.97,20.6,31,37,22.0,33.34,7.27,26.06,2.05,0.187,1.86,-,-,23.11,-,87.53,37.0,-
128,臺北市,2007/10/10,士林,1.1,0.35,-,33.1,39,32,17.0,13.19,1.64,11.55,-,-,-,-,-,24.03,-,77.82,35.0,-
129,臺北市,2007/10/10,陽明,0.6,0.18,380.89,43.3,45,-,-,3.67,0.94,2.73,-,-,-,-,-,17.59,-,94.54,38.0,-
130,臺北市,2007/10/10,中山,2.3,0.59,-,20.6,26,42,22.0,32.5,7.32,25.18,2.184,0.229,1.96,-,-,24.84,-,82.52,42.0,-
131,臺北市,2007/10/10,萬華,2.0,0.5,-,26.7,31,38,19.0,23.47,3.11,20.36,-,-,-,-,-,24.66,-,79.83,38.0,-
132,臺北市,2007/10/10,古亭,2.4,0.5,-,24.2,29,41,24.0,27.48,6.34,21.15,2.021,0.142,1.88,-,-,23.94,-,87.12,41.0,-
133,臺北市,2007/10/09,萬華,2.9,0.84,-,13.8,18,26,14.0,37.84,11.6,26.25,-,-,-,-,-,24.06,-,81.14,26.0,-
134,臺北市,2007/10/09,松山,2.1,0.57,391.39,16.6,19,23,15.0,30.86,7.99,22.87,2.094,0.218,1.88,-,-,22.8,-,85.63,23.0,-
135,臺北市,2007/10/09,陽明,1.5,0.24,386.57,34.3,41,-,-,4.95,1.93,3.02,-,-,-,-,-,17.04,-,94.35,36.0,-
136,臺北市,2007/10/09,古亭,2.0,0.67,-,13.7,15,32,17.0,35.56,11.04,24.53,2.154,0.222,1.93,-,-,23.5,-,87.04,32.0,-
137,臺北市,2007/10/09,中山,2.4,0.81,-,11.1,14,-,17.0,43.35,15.35,28.0,2.332,0.336,2.0,-,-,24.38,-,82.94,16.0,-
138,臺北市,2007/10/09,士林,1.9,0.63,-,13.6,18,25,13.0,30.33,7.5,22.83,-,-,-,-,-,22.9,-,84.38,25.0,-
139,臺北市,2007/10/08,萬華,5.3,1.28,-,18.8,36,-,35.0,52.15,16.07,36.08,-,-,-,-,-,27.66,-,79.08,61.0,-
140,臺北市,2007/10/08,松山,4.0,1.2,423.88,12.1,21,52,38.0,58.78,21.88,36.89,2.704,0.528,2.18,-,-,26.54,-,82.45,51.0,-
141,臺北市,2007/10/08,陽明,3.3,0.34,388.06,38.4,48,-,-,7.2,1.45,5.75,-,-,-,-,-,20.82,-,90.93,45.0,-
142,臺北市,2007/10/08,古亭,5.4,1.35,-,9.9,18,58,43.0,63.92,24.06,39.87,2.69,0.569,2.12,-,-,26.99,-,85.42,54.0,-
143,臺北市,2007/10/08,中山,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,27.0,-
144,臺北市,2007/10/08,士林,4.3,0.85,-,21.9,38,54,28.0,33.37,11.08,22.28,-,-,-,-,-,26.25,-,81.08,52.0,-
145,臺北市,2007/10/07,萬華,2.5,0.9,-,13.0,18,24,13.0,38.88,13.86,25.02,-,-,-,-,-,26.77,-,85.65,24.0,-
146,臺北市,2007/10/07,松山,2.0,0.68,397.02,10.8,16,17,15.0,36.89,11.06,25.82,2.324,0.286,2.04,-,-,25.57,-,89.34,21.0,-
147,臺北市,2007/10/07,陽明,1.1,0.23,384.33,29.9,33,-,-,5.62,1.14,4.47,-,-,-,-,-,20.49,-,94.15,29.0,-
148,臺北市,2007/10/07,古亭,2.6,0.9,-,8.8,15,28,20.0,49.5,22.07,27.42,2.527,0.357,2.17,-,-,26.14,-,92.6,28.0,-
149,臺北市,2007/10/07,士林,2.0,0.55,-,17.8,28,25,13.0,26.37,7.85,18.5,-,-,-,-,-,25.58,-,85.41,26.0,-
150,臺北市,2007/10/06,萬華,0.8,0.19,-,28.8,33,19,9.0,6.94,1.23,5.72,-,-,-,-,-,27.66,-,82.02,30.0,-
151,臺北市,2007/10/06,松山,1.5,0.17,373.8,27.1,33,21,11.0,15.72,7.5,8.25,1.756,0.018,1.74,-,-,25.98,-,86.16,31.0,-
152,臺北市,2007/10/06,陽明,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,21.54,-,92.51,30.0,-
153,臺北市,2007/10/06,士林,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,33.0,-
154,臺北市,2007/10/06,中山,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,-
155,臺北市,2007/10/06,古亭,1.4,0.19,-,26.6,30,24,18.0,7.34,1.5,5.84,1.832,0.027,1.81,-,-,26.86,-,89.06,26.0,-
156,臺北市,2007/10/05,萬華,1.2,0.38,-,26.2,32,34,14.0,16.01,2.99,13.02,-,-,-,-,-,28.82,-,73.84,34.0,-
157,臺北市,2007/10/05,松山,1.5,0.24,374.65,35.8,39,29,17.0,6.1,1.42,4.67,1.8,0.039,1.76,-,-,27.09,-,82.05,34.0,-
158,臺北市,2007/10/05,陽明,1.0,0.14,378.52,33.9,38,6,5.0,1.72,0.71,0.97,-,-,-,-,-,20.83,-,93.97,32.0,-
159,臺北市,2007/10/05,士林,1.7,0.2,-,35.8,39,36,12.0,4.93,0.83,4.09,-,-,-,-,-,27.3,-,77.95,36.0,-
160,臺北市,2007/10/05,中山,1.8,0.44,-,24.9,29,38,14.0,20.55,6.93,13.62,2.013,0.15,1.86,-,-,28.48,-,79.1,38.0,-
161,臺北市,2007/10/05,古亭,1.8,0.36,-,25.4,29,40,16.0,17.02,5.02,12.0,1.902,0.078,1.82,-,-,27.78,-,83.41,40.0,-
162,臺北市,2007/10/04,萬華,2.6,0.55,-,24.5,27,42,22.0,21.86,4.73,17.13,-,-,-,-,-,28.17,-,76.29,42.0,-
163,臺北市,2007/10/04,松山,2.8,0.37,380.37,29.1,33,41,26.0,14.39,2.95,11.44,1.933,0.1,1.83,-,-,26.93,-,81.66,41.0,-
164,臺北市,2007/10/04,陽明,1.0,0.17,379.85,36.1,38,16,14.0,3.26,1.86,1.4,-,-,-,-,-,20.35,-,92.46,33.0,-
