序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
14,臺北市,2008/01/29,松山,2.6,0.6,402.74,10.9,14,19,16.0,38.05,13.04,25.02,2.196,0.218,1.98,-,-,15.68,-,84.47,23.0,-
15,臺北市,2008/01/29,萬華,2.5,0.73,-,12.4,16,22,14.0,36.81,11.11,25.69,-,-,-,-,-,15.71,-,87.98,26.0,-
16,臺北市,2008/01/29,古亭,3.7,0.67,-,11.4,16,28,13.0,40.24,14.89,25.35,2.124,0.215,1.91,-,-,15.68,-,86.63,28.0,-
17,臺北市,2008/01/29,士林,2.7,0.51,-,14.3,18,27,8.0,26.11,5.58,20.53,-,-,-,-,-,16.21,-,81.62,27.0,-
18,臺北市,2008/01/29,陽明,1.7,0.29,384.45,28.6,33,6,3.0,6.81,1.74,5.07,-,-,-,-,-,10.01,-,91.72,32.0,-
19,臺北市,2008/01/28,中山,3.8,1.23,-,6.3,17,40,25.0,84.3,46.96,37.35,2.777,0.575,2.2,-,-,15.72,-,90.14,40.0,-
20,臺北市,2008/01/28,松山,3.0,0.67,400.56,10.4,21,19,15.0,54.17,21.24,32.93,2.235,0.28,1.96,-,-,16.33,-,90.93,24.0,-
21,臺北市,2008/01/28,萬華,4.5,0.99,-,11.6,23,29,23.0,58.97,25.17,33.78,-,-,-,-,-,16.27,-,93.29,29.0,-
22,臺北市,2008/01/28,古亭,5.1,0.85,-,12.4,26,33,21.0,57.23,25.6,31.63,2.387,0.449,1.94,-,-,16.24,-,91.93,33.0,-
23,臺北市,2008/01/28,士林,1.9,0.54,-,9.2,16,33,12.0,35.65,7.91,27.74,-,-,-,-,-,16.41,-,85.47,33.0,-
24,臺北市,2008/01/28,陽明,1.0,0.24,379.26,33.6,38,5,3.0,4.67,1.75,2.92,-,-,-,-,-,12.43,-,92.86,32.0,-
25,臺北市,2008/01/27,中山,2.1,0.46,-,18.7,24,18,16.0,27.85,7.2,20.65,2.141,0.15,1.99,-,-,14.0,-,86.64,24.0,-
26,臺北市,2008/01/27,松山,3.4,0.38,393.62,17.1,24,12,9.0,35.08,9.26,25.82,1.977,0.084,1.89,-,-,14.37,-,89.31,24.0,-
27,臺北市,2008/01/27,萬華,2.5,0.45,-,22.6,27,10,10.0,22.67,4.27,18.4,-,-,-,-,-,14.52,-,90.76,26.0,-
28,臺北市,2008/01/27,古亭,3.3,0.4,-,21.3,26,17,7.0,25.13,6.91,18.23,1.925,0.09,1.84,-,-,14.24,-,91.39,25.0,-
29,臺北市,2008/01/27,士林,1.4,0.35,-,26.5,30,19,7.0,15.05,2.18,12.88,-,-,-,-,-,15.29,-,78.54,28.0,-
30,臺北市,2008/01/27,陽明,0.7,0.2,379.65,38.6,40,5,3.0,3.12,1.37,1.74,-,-,-,-,-,8.7,-,92.98,33.0,-
31,臺北市,2008/01/26,中山,2.8,0.64,-,12.3,16,20,12.0,44.85,16.27,28.58,2.257,0.241,2.02,-,-,16.65,-,87.63,20.0,-
32,臺北市,2008/01/26,松山,2.4,0.45,394.23,13.4,17,16,13.0,41.06,13.67,27.39,2.066,0.14,1.93,-,-,16.94,-,88.82,17.0,-
33,臺北市,2008/01/26,萬華,2.6,0.56,-,17.2,21,15,13.0,31.84,6.75,25.08,-,-,-,-,-,17.2,-,91.13,22.0,-
34,臺北市,2008/01/26,古亭,2.6,0.52,-,15.4,19,21,11.0,35.92,11.3,24.62,1.987,0.141,1.85,-,-,16.87,-,91.11,21.0,-
35,臺北市,2008/01/26,士林,2.4,0.37,-,26.6,32,21,7.0,17.82,3.51,14.31,-,-,-,-,-,17.79,-,81.46,32.0,-
36,臺北市,2008/01/26,陽明,2.2,0.19,379.38,38.9,41,5,3.0,4.31,1.24,3.07,-,-,-,-,-,11.34,-,92.89,34.0,-
37,臺北市,2008/01/25,中山,5.2,0.6,-,15.1,22,36,26.0,39.76,12.68,27.08,2.173,0.203,1.97,-,-,14.44,-,82.45,36.0,-
38,臺北市,2008/01/25,松山,3.3,0.47,393.33,14.9,23,31,23.0,40.34,11.39,28.95,2.051,0.129,1.92,-,-,14.71,-,85.58,31.0,-
39,臺北市,2008/01/25,萬華,3.3,0.53,-,21.6,31,33,25.0,26.93,4.36,22.58,-,-,-,-,-,14.92,-,86.43,33.0,-
40,臺北市,2008/01/25,古亭,2.1,0.56,-,18.5,31,37,24.0,35.36,11.36,23.99,2.008,0.161,1.85,-,-,14.8,-,86.66,37.0,-
41,臺北市,2008/01/25,士林,1.7,0.3,-,35.3,38,31,15.0,9.79,1.87,7.93,-,-,-,-,-,15.58,-,74.73,33.0,-
42,臺北市,2008/01/25,陽明,1.4,0.23,379.56,40.7,41,5,3.0,2.95,1.44,1.5,-,-,-,-,-,8.52,-,92.9,35.0,-
43,臺北市,2008/01/24,中山,4.8,0.96,-,14.5,20,59,46.0,35.3,11.23,24.07,2.281,0.237,2.04,-,-,13.04,-,78.37,54.0,-
44,臺北市,2008/01/24,松山,6.4,0.85,402.79,14.7,23,55,46.0,33.43,9.3,24.13,2.186,0.185,2.0,-,-,12.92,-,84.76,52.0,-
45,臺北市,2008/01/24,萬華,5.2,0.9,-,20.7,26,55,44.0,24.96,4.91,20.05,-,-,-,-,-,13.34,-,83.8,52.0,-
46,臺北市,2008/01/24,古亭,6.1,0.9,-,16.3,23,59,45.0,33.55,11.94,21.61,2.099,0.177,1.92,-,-,13.04,-,87.02,54.0,-
47,臺北市,2008/01/24,士林,6.0,0.7,-,30.2,32,44,26.0,11.69,1.69,9.99,-,-,-,-,-,13.92,-,70.77,44.0,-
48,臺北市,2008/01/24,陽明,4.8,0.62,395.69,33.8,38,7,5.0,4.7,1.45,3.25,-,-,-,-,-,6.43,-,92.79,32.0,-
49,臺北市,2008/01/23,中山,2.3,0.68,-,14.6,24,28,15.0,36.24,14.65,21.6,2.208,0.222,1.99,-,-,15.82,-,77.56,28.0,-
50,臺北市,2008/01/23,松山,2.3,0.55,395.12,14.7,25,22,16.0,31.75,10.58,21.17,2.098,0.17,1.93,-,-,15.26,-,85.69,24.0,-
51,臺北市,2008/01/23,萬華,2.4,0.61,-,17.9,27,20,14.0,27.02,7.56,19.46,-,-,-,-,-,15.92,-,83.89,25.0,-
52,臺北市,2008/01/23,古亭,3.0,0.6,-,15.9,27,23,-,31.67,12.7,18.98,2.031,0.164,1.87,-,-,15.53,-,87.02,26.0,-
53,臺北市,2008/01/23,士林,2.4,0.41,-,24.4,28,24,10.0,14.35,3.45,10.9,-,-,-,-,-,16.65,-,71.53,28.0,-
54,臺北市,2008/01/23,陽明,2.1,0.33,391.67,30.5,36,5,3.0,6.81,2.61,4.2,-,-,-,-,-,9.06,-,92.78,32.0,-
55,臺北市,2008/01/22,中山,1.8,0.66,-,18.9,26,27,14.0,34.88,10.45,24.43,2.202,0.229,1.97,-,-,17.18,-,81.87,27.0,-
56,臺北市,2008/01/22,松山,3.5,0.57,393.93,14.6,23,25,18.0,40.08,11.58,28.51,2.124,0.21,1.91,-,-,16.9,-,88.43,26.0,-
57,臺北市,2008/01/22,萬華,3.5,0.66,-,21.3,30,25,17.0,30.81,6.56,24.25,-,-,-,-,-,17.32,-,87.93,31.0,-
58,臺北市,2008/01/22,古亭,3.1,0.56,-,20.7,29,27,-,31.08,8.97,22.11,1.994,0.151,1.84,-,-,17.04,-,89.34,30.0,-
59,臺北市,2008/01/22,士林,1.8,0.4,-,32.2,35,21,10.0,13.4,2.19,11.21,-,-,-,-,-,18.46,-,73.46,33.0,-
60,臺北市,2008/01/22,陽明,1.2,0.26,386.52,41.6,43,5,3.0,2.85,1.14,1.71,-,-,-,-,-,11.3,-,92.63,36.0,-
61,臺北市,2008/01/21,中山,2.0,0.67,-,12.0,13,32,18.0,37.09,12.44,24.65,2.24,0.243,2.0,-,-,17.24,-,79.59,32.0,-
62,臺北市,2008/01/21,松山,2.5,0.5,393.45,13.0,16,28,18.0,29.27,5.94,23.34,2.11,0.174,1.94,-,-,16.9,-,85.06,28.0,-
63,臺北市,2008/01/21,萬華,1.7,0.58,-,16.5,17,26,18.0,28.2,6.36,21.84,-,-,-,-,-,17.46,-,85.07,26.0,-
64,臺北市,2008/01/21,古亭,2.5,0.58,-,13.9,17,34,-,33.3,10.8,22.5,2.034,0.172,1.86,-,-,17.18,-,86.58,34.0,-
65,臺北市,2008/01/21,士林,2.6,0.42,-,20.0,29,35,14.0,16.99,2.73,14.26,-,-,-,-,-,17.87,-,76.5,35.0,-
66,臺北市,2008/01/21,陽明,0.8,0.26,388.89,33.2,40,5,3.0,4.27,1.45,2.82,-,-,-,-,-,11.02,-,92.99,34.0,-
67,臺北市,2008/01/20,中山,3.7,0.9,-,12.7,27,59,31.0,56.66,22.55,34.11,2.589,0.382,2.21,-,-,20.24,-,74.65,54.0,-
68,臺北市,2008/01/20,松山,5.3,0.79,409.13,16.6,32,52,30.0,45.64,15.65,30.0,2.448,0.332,2.12,-,-,19.71,-,77.33,51.0,-
69,臺北市,2008/01/20,古亭,4.9,0.81,-,15.7,36,54,37.0,46.99,17.98,29.01,2.337,0.315,2.02,-,-,19.62,-,80.0,52.0,-
70,臺北市,2008/01/20,士林,3.6,0.67,-,19.7,40,63,35.0,38.05,11.91,26.14,-,-,-,-,-,19.86,-,78.05,56.0,-
71,臺北市,2008/01/20,萬華,5.1,0.79,-,17.8,41,32,30.0,40.43,12.75,27.68,-,-,-,-,-,19.69,-,80.49,55.0,-
72,臺北市,2008/01/20,陽明,2.6,0.29,386.99,42.9,54,18,12.0,6.82,1.33,5.49,-,-,-,-,-,15.58,-,80.26,64.0,-
73,臺北市,2008/01/19,中山,2.5,0.66,-,16.0,19,29,18.0,38.62,11.0,27.62,2.226,0.232,1.99,-,-,18.66,-,80.07,29.0,-
74,臺北市,2008/01/19,松山,3.2,0.57,392.59,14.1,17,27,17.0,35.52,8.37,27.15,2.18,0.206,1.97,-,-,18.53,-,82.89,27.0,-
75,臺北市,2008/01/19,陽明,2.1,0.23,385.09,41.4,42,5,4.0,2.81,1.39,1.42,-,-,-,-,-,12.41,-,92.74,36.0,-
76,臺北市,2008/01/19,士林,1.3,0.35,-,34.0,35,26,11.0,11.78,2.28,9.5,-,-,-,-,-,19.8,-,72.37,33.0,-
77,臺北市,2008/01/19,萬華,2.0,0.61,-,21.3,25,23,15.0,27.94,5.76,22.18,-,-,-,-,-,19.14,-,82.53,26.0,-
78,臺北市,2008/01/19,古亭,2.5,0.58,-,20.0,25,28,17.0,33.51,10.88,22.64,2.005,0.147,1.86,-,-,18.96,-,82.72,28.0,-
79,臺北市,2008/01/18,松山,2.8,0.54,392.67,14.8,25,27,14.0,40.43,12.31,28.11,2.12,0.195,1.93,-,-,15.17,-,83.98,27.0,-
80,臺北市,2008/01/18,古亭,2.9,0.52,-,20.6,28,30,19.0,30.11,9.09,21.02,1.978,0.132,1.85,-,-,15.48,-,84.83,30.0,-
81,臺北市,2008/01/18,陽明,1.4,0.24,386.12,40.8,41,5,3.0,2.57,1.33,1.24,-,-,-,-,-,8.84,-,92.88,35.0,-
82,臺北市,2008/01/18,士林,1.0,0.33,-,35.5,39,26,9.0,10.2,1.96,8.24,-,-,-,-,-,16.48,-,70.07,34.0,-
83,臺北市,2008/01/18,萬華,3.2,0.6,-,20.7,28,27,15.0,28.14,5.63,22.51,-,-,-,-,-,15.65,-,83.33,28.0,-
84,臺北市,2008/01/18,中山,2.2,0.65,-,17.8,26,32,16.0,36.97,11.64,25.32,2.196,0.221,1.98,-,-,15.35,-,78.34,32.0,-
85,臺北市,2008/01/17,松山,3.2,0.51,391.77,16.8,24,28,19.0,35.76,8.29,27.47,2.117,0.187,1.93,-,-,14.07,-,81.73,28.0,-
86,臺北市,2008/01/17,古亭,2.7,0.47,-,22.6,27,31,20.0,27.98,7.9,20.08,1.966,0.124,1.84,-,-,14.28,-,83.26,31.0,-
87,臺北市,2008/01/17,陽明,1.1,0.22,391.2,40.9,43,5,3.0,2.74,1.4,1.34,-,-,-,-,-,7.48,-,92.78,36.0,-
88,臺北市,2008/01/17,士林,1.4,0.32,-,35.0,37,29,10.0,11.28,1.63,9.64,-,-,-,-,-,15.16,-,69.32,33.0,-
89,臺北市,2008/01/17,萬華,1.7,0.56,-,21.6,27,26,16.0,27.39,5.73,21.66,-,-,-,-,-,14.52,-,81.23,27.0,-
90,臺北市,2008/01/17,中山,2.8,0.62,-,17.2,26,36,17.0,37.63,11.85,25.77,2.209,0.231,1.98,-,-,14.23,-,76.99,36.0,-
91,臺北市,2008/01/16,松山,0.9,0.46,387.75,19.5,28,13,13.0,27.65,5.89,21.76,2.073,0.135,1.94,-,-,13.6,-,84.86,26.0,-
92,臺北市,2008/01/16,古亭,2.3,0.56,-,18.5,28,22,17.0,33.47,11.53,21.94,2.001,0.148,1.85,-,-,13.72,-,87.75,27.0,-
93,臺北市,2008/01/16,陽明,1.4,0.26,394.54,37.9,39,5,3.0,2.77,0.7,2.06,-,-,-,-,-,7.31,-,92.46,33.0,-
94,臺北市,2008/01/16,士林,1.8,0.34,-,32.3,36,20,7.0,9.16,1.58,7.56,-,-,-,-,-,14.81,-,70.47,31.0,-
95,臺北市,2008/01/16,萬華,1.0,0.58,-,19.4,27,17,12.0,27.1,5.79,21.31,-,-,-,-,-,14.07,-,84.54,27.0,-
96,臺北市,2008/01/16,中山,1.7,0.67,-,15.9,25,27,19.0,37.27,13.13,24.15,2.218,0.234,1.98,-,-,13.65,-,80.66,27.0,-
97,臺北市,2008/01/15,松山,3.0,0.53,388.12,15.9,22,24,18.0,38.81,9.42,29.4,2.09,0.264,1.83,-,-,14.65,-,87.56,24.0,-
98,臺北市,2008/01/15,古亭,3.2,0.56,-,20.0,29,32,20.0,33.17,10.69,22.49,1.999,0.148,1.85,-,-,14.74,-,89.86,32.0,-
99,臺北市,2008/01/15,陽明,1.1,0.25,393.77,41.4,43,5,3.0,3.22,1.29,1.93,-,-,-,-,-,8.7,-,92.81,36.0,-
100,臺北市,2008/01/15,士林,1.4,0.34,-,33.5,36,25,8.0,11.18,2.77,8.42,-,-,-,-,-,15.97,-,72.67,32.0,-
101,臺北市,2008/01/15,萬華,2.3,0.61,-,19.7,27,26,15.0,29.4,5.69,23.71,-,-,-,-,-,14.99,-,88.11,27.0,-
102,臺北市,2008/01/15,中山,1.5,0.67,-,16.8,26,38,17.0,39.18,12.77,26.42,2.25,0.278,1.97,-,-,14.52,-,84.14,38.0,-
103,臺北市,2008/01/14,松山,3.9,0.44,387.87,16.8,29,16,12.0,37.51,9.94,27.58,2.136,0.213,1.92,-,-,13.94,-,83.94,28.0,-
104,臺北市,2008/01/14,古亭,2.7,0.45,-,21.2,31,24,20.0,29.83,9.54,20.29,1.969,0.13,1.84,-,-,14.0,-,89.86,30.0,-
105,臺北市,2008/01/14,陽明,1.1,0.2,393.07,40.1,41,5,3.0,3.04,1.63,1.41,-,-,-,-,-,7.83,-,93.04,35.0,-
106,臺北市,2008/01/14,士林,1.2,0.33,-,31.8,34,19,7.0,11.73,1.95,9.78,-,-,-,-,-,14.99,-,73.86,31.0,-
107,臺北市,2008/01/14,萬華,2.4,0.49,-,20.0,30,19,12.0,28.74,5.97,22.78,-,-,-,-,-,14.31,-,87.6,29.0,-
108,臺北市,2008/01/14,中山,1.9,0.54,-,18.7,27,26,15.0,36.64,11.92,24.72,2.145,0.201,1.94,-,-,13.76,-,84.05,27.0,-
109,臺北市,2008/01/13,松山,2.3,0.36,382.1,23.8,35,22,16.0,24.9,4.06,20.85,2.017,0.106,1.91,-,-,15.55,-,86.26,32.0,-
110,臺北市,2008/01/13,古亭,2.2,0.41,-,24.0,31,26,15.0,24.89,5.64,19.25,1.927,0.094,1.83,-,-,15.59,-,89.74,29.0,-
111,臺北市,2008/01/13,陽明,1.2,0.21,392.38,42.4,45,5,2.0,2.47,0.79,1.67,-,-,-,-,-,9.49,-,93.31,40.0,-
112,臺北市,2008/01/13,士林,1.5,0.31,-,33.5,39,25,8.0,10.81,1.03,9.76,-,-,-,-,-,16.81,-,73.05,34.0,-
113,臺北市,2008/01/13,萬華,1.9,0.44,-,26.4,36,21,16.0,23.11,4.48,18.62,-,-,-,-,-,16.0,-,86.23,32.0,-
114,臺北市,2008/01/13,中山,1.6,0.45,-,23.7,32,27,14.0,26.44,4.92,21.52,2.071,0.131,1.94,-,-,15.53,-,82.32,29.0,-
115,臺北市,2008/01/12,松山,2.5,0.82,404.63,17.9,27,43,32.0,44.47,17.53,26.94,2.345,0.365,1.98,-,-,20.16,-,79.95,43.0,-
116,臺北市,2008/01/12,古亭,2.4,0.67,-,18.5,25,43,28.0,33.01,8.65,24.36,2.102,0.216,1.89,-,-,20.14,-,81.57,43.0,-
117,臺北市,2008/01/12,陽明,2.8,0.31,396.95,40.5,45,-,10.0,7.79,1.83,5.96,-,-,-,-,-,14.83,-,89.15,39.0,-
118,臺北市,2008/01/12,士林,2.7,0.72,-,21.9,36,42,28.0,32.07,6.92,25.15,-,-,-,-,-,20.94,-,73.53,42.0,-
119,臺北市,2008/01/12,萬華,2.7,0.76,-,23.4,33,40,31.0,29.44,5.22,24.23,-,-,-,-,-,20.62,-,79.47,51.0,-
120,臺北市,2008/01/12,中山,2.4,0.77,-,16.2,23,48,31.0,40.28,10.35,29.93,2.374,0.304,2.07,-,-,20.67,-,74.11,48.0,-
121,臺北市,2008/01/11,松山,9.2,1.58,436.31,13.4,38,118,73.0,102.79,47.76,55.04,3.051,0.847,2.2,-,-,22.8,-,70.63,84.0,-
122,臺北市,2008/01/11,古亭,7.1,1.4,-,14.9,42,108,78.0,76.39,30.21,46.19,2.585,0.566,2.02,-,-,22.85,-,73.73,100.0,-
123,臺北市,2008/01/11,陽明,4.1,0.35,395.41,61.4,88,34,26.0,11.68,2.15,9.53,-,-,-,-,-,18.52,-,74.8,93.0,-
124,臺北市,2008/01/11,士林,8.5,1.18,-,24.7,62,104,70.0,63.57,14.47,49.1,-,-,-,-,-,23.14,-,71.63,77.0,-
125,臺北市,2008/01/11,萬華,8.4,1.38,-,25.1,65,105,76.0,61.31,15.42,45.89,-,-,-,-,-,23.22,-,72.66,119.0,-
126,臺北市,2008/01/11,中山,6.8,1.49,-,16.7,44,114,79.0,87.82,32.93,54.88,2.961,0.712,2.25,-,-,23.73,-,66.7,82.0,-
127,臺北市,2008/01/10,松山,6.8,1.3,426.58,16.7,37,102,67.0,75.04,26.86,48.18,2.843,0.641,2.2,-,-,22.02,-,73.43,76.0,-
128,臺北市,2008/01/10,士林,5.2,1.19,-,23.2,48,119,71.0,63.22,21.49,41.75,-,-,-,-,-,21.45,-,77.89,84.0,-
129,臺北市,2008/01/10,陽明,4.5,0.39,397.77,54.1,68,42,33.0,12.13,1.88,10.26,-,-,-,-,-,17.44,-,81.86,85.0,-
130,臺北市,2008/01/10,中山,7.3,1.82,-,16.1,35,131,89.0,103.26,42.49,60.77,3.422,0.951,2.47,-,-,22.19,-,72.99,90.0,-
131,臺北市,2008/01/10,萬華,9.6,1.62,-,23.2,68,126,92.0,82.54,28.24,54.31,-,-,-,-,-,21.87,-,77.91,105.0,-
132,臺北市,2008/01/10,古亭,7.1,1.29,-,19.9,44,106,80.0,70.91,25.54,45.38,2.69,0.623,2.07,-,-,22.2,-,74.0,83.0,-
133,臺北市,2008/01/09,松山,7.2,1.23,424.33,14.0,33,142,103.0,63.52,21.17,42.35,2.631,0.536,2.1,-,-,21.04,-,78.74,96.0,-
134,臺北市,2008/01/09,士林,5.4,0.95,-,28.7,47,146,104.0,32.97,5.93,27.03,-,-,-,-,-,21.24,-,76.34,98.0,-
135,臺北市,2008/01/09,陽明,4.0,0.37,392.67,55.2,62,50,42.0,4.65,1.32,3.33,-,-,-,-,-,15.74,-,80.47,58.0,-
136,臺北市,2008/01/09,中山,6.5,1.34,-,16.0,28,158,118.0,64.42,20.28,44.14,2.747,0.469,2.28,-,-,20.95,-,77.71,104.0,-
137,臺北市,2008/01/09,萬華,6.4,1.12,-,19.1,36,119,90.0,46.01,10.7,35.32,-,-,-,-,-,21.34,-,80.1,84.0,-
138,臺北市,2008/01/09,古亭,6.6,1.16,-,15.8,31,116,90.0,56.55,18.41,38.14,2.372,0.379,1.99,-,-,21.24,-,79.82,83.0,-
139,臺北市,2008/01/08,萬華,8.8,1.46,-,25.1,39,107,77.0,65.79,18.6,47.19,-,-,-,-,-,22.31,-,75.86,78.0,-
140,臺北市,2008/01/08,松山,9.5,1.21,416.02,13.6,23,99,62.0,74.99,29.95,45.04,2.665,0.558,2.11,-,-,21.78,-,76.26,74.0,-
141,臺北市,2008/01/08,陽明,4.1,0.29,391.21,52.1,56,33,28.0,5.74,1.04,4.7,-,-,-,-,-,16.09,-,83.4,56.0,-
142,臺北市,2008/01/08,古亭,7.3,1.17,-,25.8,37,103,72.0,60.41,16.94,43.48,2.433,0.461,1.97,-,-,22.27,-,74.86,76.0,-
143,臺北市,2008/01/08,中山,6.7,1.52,-,22.2,32,106,72.0,82.44,31.48,50.95,2.896,0.657,2.24,-,-,22.29,-,71.16,78.0,-
144,臺北市,2008/01/08,士林,5.6,0.81,-,33.7,48,99,63.0,35.85,5.86,29.99,-,-,-,-,-,22.31,-,72.3,74.0,-
145,臺北市,2008/01/07,萬華,7.3,1.0,-,14.8,25,64,46.0,57.33,24.29,33.04,-,-,-,-,-,20.13,-,77.56,57.0,-
146,臺北市,2008/01/07,松山,9.7,0.91,419.4,10.2,19,63,47.0,65.26,31.68,33.58,2.548,0.406,2.14,-,-,19.57,-,77.44,56.0,-
147,臺北市,2008/01/07,陽明,2.5,0.24,388.38,49.7,60,23,18.0,3.9,1.55,2.35,-,-,-,-,-,15.29,-,78.44,58.0,-
148,臺北市,2008/01/07,古亭,6.8,0.89,-,12.3,20,59,45.0,54.35,22.95,31.41,2.279,0.302,1.98,-,-,19.86,-,77.74,54.0,-
149,臺北市,2008/01/07,中山,7.2,1.01,-,-,16,66,43.0,65.59,26.75,38.84,2.611,0.407,2.2,-,-,20.0,-,73.49,58.0,-
150,臺北市,2008/01/07,士林,3.4,0.83,-,25.8,46,67,32.0,43.99,17.52,26.48,-,-,-,-,-,20.18,-,72.88,58.0,-
151,臺北市,2008/01/06,萬華,4.7,0.83,-,22.4,32,60,40.0,38.33,11.13,27.2,-,-,-,-,-,20.49,-,76.3,55.0,-
152,臺北市,2008/01/06,松山,6.1,0.74,402.88,17.5,26,59,34.0,45.6,18.37,27.23,2.26,0.28,1.98,-,-,19.88,-,75.9,54.0,-
153,臺北市,2008/01/06,陽明,2.5,0.25,386.66,45.4,48,24,18.0,4.93,1.4,3.53,-,-,-,-,-,14.76,-,86.19,43.0,-
154,臺北市,2008/01/06,士林,2.7,0.66,-,23.1,33,69,34.0,33.03,10.61,22.42,-,-,-,-,-,20.22,-,74.1,60.0,-
155,臺北市,2008/01/06,中山,4.3,0.94,-,17.5,24,72,38.0,60.2,26.41,33.79,2.487,0.36,2.13,-,-,20.46,-,72.25,61.0,-
156,臺北市,2008/01/06,古亭,5.6,0.75,-,22.9,33,60,38.0,41.73,15.81,25.92,2.133,0.22,1.91,-,-,20.4,-,75.97,55.0,-
157,臺北市,2008/01/05,萬華,2.2,0.83,-,18.9,33,50,33.0,42.94,14.53,28.42,-,-,-,-,-,17.76,-,75.16,50.0,-
158,臺北市,2008/01/05,松山,3.9,0.67,402.61,17.6,34,46,28.0,45.18,14.4,30.78,2.473,0.307,2.17,-,-,17.34,-,74.42,46.0,-
159,臺北市,2008/01/05,陽明,1.5,0.22,386.83,47.9,55,18,15.0,2.8,0.89,1.91,-,-,-,-,-,10.13,-,92.85,47.0,-
160,臺北市,2008/01/05,士林,2.4,0.71,-,24.0,39,52,27.0,37.44,16.39,21.05,-,-,-,-,-,17.32,-,72.27,51.0,-
161,臺北市,2008/01/05,中山,2.7,0.87,-,13.9,25,52,31.0,58.22,22.53,35.69,2.526,0.361,2.17,-,-,17.43,-,71.65,51.0,-
162,臺北市,2008/01/05,古亭,2.2,0.69,-,18.4,30,50,33.0,40.57,12.56,28.01,2.13,0.212,1.92,-,-,17.58,-,76.26,50.0,-
163,臺北市,2008/01/04,萬華,3.1,0.67,-,17.7,30,30,21.0,35.3,8.87,26.43,-,-,-,-,-,16.96,-,82.54,30.0,-
