序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
23,臺北市,2007/09/27,萬華,2.5,0.47,-,16.4,23,30,14.0,22.41,5.69,16.71,-,-,-,-,-,30.94,-,61.52,30.0,-
24,臺北市,2007/09/27,中山,3.6,0.54,-,13.4,17,34,18.0,31.55,13.83,17.72,2.123,0.234,1.89,-,-,30.84,-,65.21,34.0,-
25,臺北市,2007/09/26,松山,7.0,0.43,386.23,16.4,24,36,22.0,25.85,7.51,18.34,2.042,0.171,1.87,-,-,27.21,-,80.02,36.0,-
26,臺北市,2007/09/26,士林,2.8,0.29,-,25.0,28,43,18.0,13.12,3.2,9.91,-,-,-,-,-,28.1,-,71.45,43.0,-
27,臺北市,2007/09/26,陽明,0.9,0.12,378.62,31.0,33,15,11.0,2.31,1.47,0.8,-,-,-,-,-,20.75,-,92.02,29.0,-
28,臺北市,2007/09/26,中山,5.2,0.57,-,16.0,19,44,26.0,29.18,9.59,19.59,2.146,0.244,1.9,-,-,28.81,-,75.2,44.0,-
29,臺北市,2007/09/26,萬華,5.5,0.5,-,19.1,25,40,19.0,23.3,5.3,17.99,-,-,-,-,-,28.93,-,71.55,40.0,-
30,臺北市,2007/09/26,古亭,4.3,0.5,-,15.2,18,38,24.0,29.36,10.25,19.11,1.984,0.146,1.84,-,-,28.09,-,79.08,38.0,-
31,臺北市,2007/09/25,松山,4.4,0.35,379.56,23.3,31,34,22.0,16.75,3.93,12.81,1.946,0.11,1.84,-,-,27.96,-,71.78,34.0,-
32,臺北市,2007/09/25,士林,2.7,0.22,-,30.8,34,40,17.0,8.89,1.45,7.43,-,-,-,-,-,28.37,-,65.83,40.0,-
33,臺北市,2007/09/25,陽明,2.4,0.11,379.01,31.5,35,17,12.0,3.4,1.13,2.24,-,-,-,-,-,20.91,-,88.76,29.0,-
34,臺北市,2007/09/25,中山,3.7,0.45,-,20.1,26,38,21.0,23.71,7.12,16.59,2.064,0.174,1.89,-,-,28.96,-,70.12,38.0,-
35,臺北市,2007/09/25,萬華,2.6,0.38,-,26.3,33,39,17.0,15.44,2.23,13.19,-,-,-,-,-,29.92,-,62.94,39.0,-
36,臺北市,2007/09/25,古亭,3.5,0.32,-,23.5,27,38,23.0,17.52,4.57,12.95,1.887,0.075,1.81,-,-,28.97,-,69.89,38.0,-
37,臺北市,2007/09/24,松山,2.8,0.33,376.63,15.0,17,23,14.0,19.98,7.15,12.82,1.91,0.112,1.8,-,-,28.49,-,72.54,23.0,-
38,臺北市,2007/09/24,士林,2.7,0.19,-,23.6,27,35,12.0,8.34,2.28,6.06,-,-,-,-,-,28.63,-,70.04,35.0,-
39,臺北市,2007/09/24,陽明,2.3,0.07,389.61,24.1,34,6,6.0,3.61,2.18,1.4,-,-,-,-,-,21.0,-,94.76,31.0,-
40,臺北市,2007/09/24,中山,3.5,0.4,-,13.2,15,30,14.0,23.86,9.07,14.78,2.049,0.171,1.88,-,-,29.29,-,73.46,30.0,-
41,臺北市,2007/09/24,萬華,1.3,0.39,-,16.1,19,24,10.0,15.45,4.08,11.37,-,-,-,-,-,30.08,-,66.74,24.0,-
42,臺北市,2007/09/24,古亭,1.4,0.26,-,16.1,19,24,15.0,14.73,5.94,8.79,1.832,0.059,1.77,-,-,29.28,-,72.63,24.0,-
43,臺北市,2007/09/23,松山,2.2,0.29,375.49,13.2,18,13,13.0,14.53,5.92,8.61,1.838,0.081,1.76,-,-,28.22,-,78.54,17.0,-
44,臺北市,2007/09/23,士林,2.0,0.17,-,17.2,20,22,7.0,6.88,2.54,4.34,-,-,-,-,-,28.78,-,73.57,22.0,-
45,臺北市,2007/09/23,陽明,2.5,0.05,383.41,16.1,19,6,5.0,4.39,2.64,1.71,-,-,-,-,-,22.22,-,93.87,17.0,-
46,臺北市,2007/09/23,中山,1.8,0.36,-,10.9,15,24,11.0,21.57,10.51,11.06,1.981,0.15,1.83,-,-,29.15,-,78.89,24.0,-
47,臺北市,2007/09/23,萬華,1.1,0.36,-,15.4,20,19,7.0,14.2,4.95,9.25,-,-,-,-,-,30.04,-,70.36,19.0,-
48,臺北市,2007/09/23,古亭,2.2,0.29,-,13.7,17,20,12.0,14.37,6.67,7.7,1.819,0.059,1.76,-,-,29.04,-,77.62,20.0,-
49,臺北市,2007/09/22,萬華,3.0,0.45,-,10.1,12,17,10.0,24.69,9.38,15.31,-,-,-,-,-,27.82,-,85.22,17.0,-
50,臺北市,2007/09/22,松山,3.8,0.35,378.37,10.1,12,16,13.0,24.02,9.64,14.38,1.928,0.14,1.79,-,-,26.88,-,88.15,16.0,-
51,臺北市,2007/09/22,士林,2.3,0.2,-,16.5,19,21,10.0,10.81,3.87,6.94,-,-,-,-,-,27.53,-,80.09,21.0,-
52,臺北市,2007/09/22,中山,2.8,0.47,-,9.1,10,22,11.0,27.3,11.94,15.37,2.045,0.19,1.85,-,-,27.68,-,90.3,22.0,-
53,臺北市,2007/09/22,陽明,1.8,0.08,383.48,19.9,23,5,3.0,3.29,2.38,0.93,-,-,-,-,-,21.77,-,95.73,21.0,-
54,臺北市,2007/09/22,古亭,3.2,0.42,-,9.3,12,23,9.0,26.51,12.39,14.12,1.91,0.121,1.79,-,-,27.38,-,89.42,23.0,-
55,臺北市,2007/09/21,萬華,3.5,0.52,-,9.2,13,22,8.0,27.6,13.85,13.75,-,-,-,-,-,27.98,-,76.97,22.0,-
56,臺北市,2007/09/21,松山,3.9,0.41,382.11,8.4,12,18,12.0,31.59,17.93,13.66,1.986,0.207,1.78,-,-,26.45,-,84.3,18.0,-
57,臺北市,2007/09/21,士林,2.0,0.28,-,12.1,17,22,8.0,15.32,6.44,8.87,-,-,-,-,-,27.01,-,78.37,22.0,-
58,臺北市,2007/09/21,中山,3.5,0.62,-,7.2,10,27,13.0,37.96,23.17,14.79,2.124,0.27,1.85,-,-,27.5,-,84.09,27.0,-
59,臺北市,2007/09/21,陽明,2.2,0.05,384.38,17.5,19,5,3.0,3.11,1.96,1.12,-,-,-,-,-,20.84,-,94.14,18.0,-
60,臺北市,2007/09/21,古亭,4.1,0.53,-,7.2,13,23,13.0,37.02,21.63,15.39,1.964,0.18,1.79,-,-,27.1,-,85.59,23.0,-
61,臺北市,2007/09/20,萬華,2.0,0.96,-,17.0,34,37,25.0,33.78,12.65,21.13,-,-,-,-,-,29.56,-,70.2,47.0,-
62,臺北市,2007/09/20,松山,2.9,0.82,404.94,12.0,24,40,27.0,43.22,22.72,20.51,2.43,0.37,2.06,-,-,28.18,-,74.43,40.0,-
63,臺北市,2007/09/20,士林,2.6,0.67,-,17.9,34,50,28.0,25.36,10.01,15.35,-,-,-,-,-,27.89,-,74.87,50.0,-
64,臺北市,2007/09/20,中山,3.8,1.2,-,10.5,23,51,27.0,61.33,35.42,25.91,2.66,0.536,2.12,-,-,28.91,-,75.11,50.0,-
65,臺北市,2007/09/20,陽明,2.3,0.24,386.49,30.0,41,23,22.0,2.21,0.69,1.51,-,-,-,-,-,21.81,-,89.81,36.0,-
66,臺北市,2007/09/20,古亭,2.7,0.85,-,14.0,28,45,27.0,39.41,17.71,21.7,2.288,0.292,2.0,-,-,28.57,-,76.82,45.0,-
67,臺北市,2007/09/19,萬華,3.9,1.73,-,12.0,20,27,19.0,67.7,31.34,36.36,-,-,-,-,-,26.07,-,87.7,30.0,-
68,臺北市,2007/09/19,松山,4.5,1.06,408.41,13.0,23,27,20.0,62.54,28.74,33.8,2.471,0.435,2.04,-,-,25.09,-,89.87,27.0,-
69,臺北市,2007/09/19,古亭,3.9,1.3,-,9.3,17,29,20.0,66.7,31.65,35.05,2.58,0.464,2.12,-,-,25.56,-,93.17,29.0,-
70,臺北市,2007/09/19,中山,5.4,1.62,-,8.4,16,39,31.0,94.7,53.37,41.33,2.85,0.664,2.19,-,-,25.93,-,91.21,39.0,-
71,臺北市,2007/09/19,陽明,1.8,0.34,393.86,41.7,51,18,18.0,5.98,2.32,3.67,-,-,-,-,-,20.54,-,94.43,50.0,-
72,臺北市,2007/09/19,士林,3.4,1.19,-,13.2,26,38,23.0,56.74,20.57,36.16,-,-,-,-,-,24.99,-,88.85,38.0,-
73,臺北市,2007/09/18,松山,0.9,0.29,376.88,25.9,30,10,10.0,9.67,1.93,7.73,1.863,0.074,1.79,-,-,26.06,-,89.03,32.0,-
74,臺北市,2007/09/18,古亭,1.6,0.31,-,22.3,26,19,11.0,13.16,2.82,10.35,1.963,0.091,1.87,-,-,26.29,-,92.37,30.0,-
75,臺北市,2007/09/18,士林,1.9,0.21,-,30.2,34,20,7.0,7.16,2.18,4.98,-,-,-,-,-,25.96,-,86.94,36.0,-
76,臺北市,2007/09/18,萬華,1.0,0.28,-,26.8,30,18,7.0,9.57,1.34,8.23,-,-,-,-,-,26.53,-,88.38,34.0,-
77,臺北市,2007/09/18,陽明,1.3,0.1,380.2,29.0,33,-,-,1.8,0.58,1.2,-,-,-,-,-,21.89,-,95.65,38.0,-
78,臺北市,2007/09/18,中山,2.0,0.4,-,20.0,24,23,9.0,18.5,5.38,13.12,2.064,0.138,1.93,-,-,26.58,-,95.1,28.0,-
79,臺北市,2007/09/17,松山,1.5,0.59,384.73,-,19,33,26.0,29.47,5.77,23.7,2.109,0.228,1.88,-,-,26.14,-,83.2,33.0,-
80,臺北市,2007/09/17,古亭,2.5,0.87,-,19.6,30,46,33.0,43.2,10.68,32.52,2.281,0.326,1.96,-,-,26.36,-,87.89,46.0,-
81,臺北市,2007/09/17,士林,2.1,0.52,-,32.5,37,39,22.0,21.49,2.75,18.74,-,-,-,-,-,25.75,-,82.86,42.0,-
82,臺北市,2007/09/17,萬華,1.5,0.63,-,31.7,39,39,24.0,25.01,2.85,22.16,-,-,-,-,-,27.07,-,80.09,40.0,-
83,臺北市,2007/09/17,陽明,1.2,0.21,381.97,50.2,57,15,8.0,2.98,1.29,1.69,-,-,-,-,-,20.18,-,93.33,51.0,-
84,臺北市,2007/09/17,中山,2.6,1.01,-,20.7,35,45,28.0,48.61,15.04,33.57,2.477,0.434,2.04,-,-,26.71,-,86.09,45.0,-
85,臺北市,2007/09/16,松山,3.5,0.61,395.15,-,4,72,51.0,27.02,5.06,21.97,2.222,0.195,2.03,-,-,27.25,-,70.64,61.0,-
86,臺北市,2007/09/16,古亭,2.9,0.66,-,36.9,50,79,57.0,29.28,3.64,25.63,2.14,0.177,1.96,-,-,27.78,-,71.45,64.0,-
87,臺北市,2007/09/16,士林,3.7,0.54,-,51.8,63,76,55.0,19.0,1.52,17.47,-,-,-,-,-,27.28,-,68.78,63.0,-
88,臺北市,2007/09/16,萬華,2.2,0.64,-,45.9,64,71,50.0,21.82,1.78,20.04,-,-,-,-,-,29.21,-,61.86,64.0,-
89,臺北市,2007/09/16,陽明,2.3,0.29,386.31,61.7,66,43,33.0,4.47,1.54,2.94,-,-,-,-,-,20.79,-,85.79,64.0,-
90,臺北市,2007/09/16,中山,4.5,0.84,-,33.4,50,80,56.0,40.07,7.17,32.9,2.432,0.295,2.14,-,-,28.21,-,69.72,65.0,-
91,臺北市,2007/09/15,松山,4.9,0.78,397.21,-,6,86,65.0,39.11,8.45,30.65,2.316,0.311,2.0,-,-,26.41,-,68.07,68.0,-
92,臺北市,2007/09/15,古亭,4.4,0.76,-,35.3,57,91,69.0,34.17,5.73,28.44,2.243,0.258,1.99,-,-,27.15,-,71.69,70.0,-
93,臺北市,2007/09/15,士林,4.4,0.71,-,43.7,65,86,60.0,28.02,4.9,23.13,-,-,-,-,-,26.67,-,68.75,68.0,-
94,臺北市,2007/09/15,萬華,4.3,0.81,-,39.7,61,84,62.0,32.78,4.34,28.44,-,-,-,-,-,28.18,-,63.77,67.0,-
95,臺北市,2007/09/15,陽明,3.4,0.34,387.41,69.1,72,51,34.0,3.98,1.0,2.98,-,-,-,-,-,19.61,-,89.62,75.0,-
96,臺北市,2007/09/15,中山,6.0,1.02,-,28.7,45,96,78.0,50.65,10.98,39.67,2.568,0.427,2.14,-,-,27.86,-,68.54,73.0,-
97,臺北市,2007/09/14,松山,4.5,0.72,389.57,44.7,68,85,63.0,33.36,5.48,27.89,2.22,0.254,1.97,-,-,28.04,-,63.97,69.0,-
98,臺北市,2007/09/14,古亭,3.7,0.84,-,35.1,74,90,64.0,39.19,9.66,29.53,2.206,0.266,1.94,-,-,28.42,-,66.92,96.0,-
99,臺北市,2007/09/14,士林,3.9,0.72,-,39.8,78,94,60.0,26.01,4.35,21.65,-,-,-,-,-,27.43,-,67.55,75.0,-
100,臺北市,2007/09/14,萬華,3.7,0.87,-,46.0,86,89,63.0,30.73,4.11,26.62,-,-,-,-,-,29.97,-,59.19,106.0,-
101,臺北市,2007/09/14,陽明,2.1,0.25,382.17,56.2,67,40,-,3.09,0.96,2.13,-,-,-,-,-,20.79,-,82.94,66.0,-
102,臺北市,2007/09/14,中山,5.1,1.08,-,32.0,65,100,73.0,51.54,12.08,39.46,2.635,0.548,2.09,-,-,29.06,-,64.68,75.0,-
103,臺北市,2007/09/13,松山,3.1,0.72,384.99,37.0,49,92,70.0,26.51,4.1,22.4,2.216,0.224,1.99,-,-,27.47,-,77.27,71.0,-
104,臺北市,2007/09/13,古亭,2.3,0.85,-,24.9,38,88,60.0,35.63,9.35,26.28,2.155,0.239,1.92,-,-,27.8,-,76.06,69.0,-
105,臺北市,2007/09/13,士林,2.8,0.84,-,29.2,55,101,67.0,28.97,4.83,24.15,-,-,-,-,-,27.28,-,74.43,76.0,-
106,臺北市,2007/09/13,萬華,2.1,0.85,-,35.0,49,82,58.0,27.06,3.63,23.42,-,-,-,-,-,28.99,-,66.88,66.0,-
107,臺北市,2007/09/13,陽明,1.2,0.32,381.39,60.6,71,58,50.0,2.57,0.64,1.89,-,-,-,-,-,20.9,-,89.13,60.0,-
108,臺北市,2007/09/13,中山,3.4,1.06,-,22.7,38,100,69.0,45.72,11.93,33.8,2.804,0.658,2.15,-,-,28.42,-,75.37,75.0,-
109,臺北市,2007/09/12,松山,3.7,0.54,380.1,42.8,55,64,45.0,24.16,3.63,20.54,2.089,0.169,1.92,-,-,27.6,-,72.09,57.0,-
110,臺北市,2007/09/12,古亭,2.7,0.75,-,26.8,46,63,47.0,35.99,10.12,25.87,2.126,0.232,1.89,-,-,27.61,-,71.97,56.0,-
111,臺北市,2007/09/12,士林,2.8,0.59,-,42.1,61,82,47.0,22.2,4.2,17.99,-,-,-,-,-,26.99,-,72.64,66.0,-
112,臺北市,2007/09/12,萬華,2.4,0.75,-,35.0,54,61,37.0,26.44,4.47,21.97,-,-,-,-,-,28.81,-,62.9,56.0,-
113,臺北市,2007/09/12,陽明,1.3,0.26,380.6,64.0,68,48,36.0,2.48,1.09,1.4,-,-,-,-,-,20.52,-,87.92,58.0,-
114,臺北市,2007/09/12,中山,3.6,0.85,-,30.9,40,74,50.0,39.64,9.62,30.03,2.378,0.326,2.05,-,-,28.28,-,73.03,62.0,-
115,臺北市,2007/09/11,松山,3.3,0.47,377.06,35.3,42,46,26.0,23.49,3.09,20.4,2.076,0.173,1.9,-,-,27.39,-,71.07,46.0,-
116,臺北市,2007/09/11,古亭,2.7,0.65,-,27.8,31,56,36.0,35.05,9.78,25.28,2.112,0.199,1.91,-,-,27.85,-,72.46,53.0,-
117,臺北市,2007/09/11,士林,2.2,0.39,-,44.3,47,58,26.0,15.3,1.93,13.36,-,-,-,-,-,27.64,-,65.52,54.0,-
118,臺北市,2007/09/11,萬華,2.7,0.77,-,29.8,36,51,26.0,30.11,5.0,25.11,-,-,-,-,-,28.57,-,65.27,50.0,-
119,臺北市,2007/09/11,陽明,1.0,0.18,379.67,54.8,59,32,21.0,3.14,1.58,1.56,-,-,-,-,-,20.53,-,85.17,54.0,-
120,臺北市,2007/09/11,中山,3.3,0.69,-,29.8,32,57,33.0,33.97,6.97,27.0,2.241,0.276,1.97,-,-,28.37,-,70.04,54.0,-
121,臺北市,2007/09/10,松山,5.9,0.43,375.03,37.5,46,42,23.0,23.09,2.89,20.2,2.041,0.15,1.89,-,-,28.08,-,67.22,44.0,-
122,臺北市,2007/09/10,古亭,3.9,0.51,-,34.4,41,51,34.0,26.88,7.51,19.36,2.017,0.144,1.87,-,-,28.55,-,68.18,50.0,-
123,臺北市,2007/09/10,士林,1.8,0.29,-,47.5,50,47,18.0,11.55,1.72,9.81,-,-,-,-,-,28.07,-,64.01,47.0,-
124,臺北市,2007/09/10,萬華,4.4,0.53,-,38.2,47,46,23.0,21.57,3.23,18.34,-,-,-,-,-,29.67,-,60.02,46.0,-
125,臺北市,2007/09/10,陽明,1.2,0.17,375.23,53.3,55,26,16.0,2.99,1.31,1.68,-,-,-,-,-,20.64,-,86.37,47.0,-
126,臺北市,2007/09/10,中山,4.7,0.57,-,31.5,36,49,23.0,29.09,5.26,23.83,2.18,0.238,1.94,-,-,28.95,-,66.36,49.0,-
127,臺北市,2007/09/09,松山,5.3,0.38,372.11,35.8,47,39,22.0,18.37,3.41,14.96,1.993,0.109,1.88,-,-,27.77,-,69.76,42.0,-
128,臺北市,2007/09/09,古亭,3.6,0.39,-,34.1,38,43,27.0,20.12,4.2,15.93,1.959,0.086,1.87,-,-,28.36,-,71.2,43.0,-
129,臺北市,2007/09/09,士林,2.6,0.28,-,45.4,49,47,25.0,10.98,1.55,9.43,-,-,-,-,-,28.0,-,66.06,47.0,-
130,臺北市,2007/09/09,萬華,3.1,0.45,-,36.9,47,40,20.0,19.08,2.3,16.78,-,-,-,-,-,29.45,-,63.05,43.0,-
131,臺北市,2007/09/09,陽明,1.3,0.18,375.18,51.3,58,22,16.0,2.75,0.89,1.85,-,-,-,-,-,20.52,-,89.39,49.0,-
132,臺北市,2007/09/09,中山,3.4,0.45,-,33.2,39,44,23.0,22.56,3.44,19.12,2.105,0.174,1.93,-,-,28.73,-,68.89,44.0,-
133,臺北市,2007/09/08,松山,6.7,0.5,380.64,24.3,30,34,21.0,30.74,5.14,25.6,2.114,0.215,1.9,-,-,26.98,-,74.95,34.0,-
134,臺北市,2007/09/08,古亭,2.6,0.41,-,31.7,38,37,21.0,21.8,4.54,17.26,1.972,0.108,1.86,-,-,27.76,-,74.73,37.0,-
135,臺北市,2007/09/08,士林,5.3,0.26,-,40.6,44,36,17.0,15.17,1.18,14.0,-,-,-,-,-,27.62,-,68.0,39.0,-
136,臺北市,2007/09/08,萬華,2.8,0.52,-,33.3,39,32,18.0,22.1,2.98,19.11,-,-,-,-,-,28.78,-,66.33,34.0,-
137,臺北市,2007/09/08,陽明,1.6,0.16,378.3,48.4,52,17,12.0,3.7,1.73,1.97,-,-,-,-,-,20.29,-,89.25,45.0,-
138,臺北市,2007/09/08,中山,6.7,0.58,-,22.0,28,38,20.0,34.3,6.69,27.61,2.206,0.25,1.96,-,-,28.07,-,73.86,38.0,-
139,臺北市,2007/09/07,松山,4.9,0.57,385.95,36.1,50,51,34.0,32.68,4.85,27.82,2.079,0.235,1.84,-,-,27.52,-,67.51,50.0,-
140,臺北市,2007/09/07,古亭,2.3,0.51,-,41.5,49,53,37.0,24.24,4.7,19.54,2.015,0.125,1.89,-,-,28.06,-,69.55,52.0,-
141,臺北市,2007/09/07,士林,4.3,0.34,-,55.9,66,53,31.0,15.79,1.68,14.1,-,-,-,-,-,27.73,-,64.58,59.0,-
142,臺北市,2007/09/07,萬華,2.4,0.62,-,42.8,50,45,31.0,23.97,2.98,20.99,-,-,-,-,-,29.21,-,61.07,49.0,-
143,臺北市,2007/09/07,陽明,2.9,0.2,384.18,61.1,72,31,27.0,5.04,1.03,4.0,-,-,-,-,-,20.45,-,85.14,63.0,-
144,臺北市,2007/09/07,中山,6.0,0.71,-,32.6,41,59,35.0,40.36,8.44,31.93,2.292,0.307,1.99,-,-,28.49,-,67.63,54.0,-
145,臺北市,2007/09/06,松山,4.7,0.67,388.51,36.6,41,56,42.0,34.27,4.59,29.67,2.175,0.257,1.92,-,-,26.21,-,81.17,53.0,-
146,臺北市,2007/09/06,古亭,5.0,0.75,-,31.6,36,64,49.0,37.92,9.0,28.92,2.2,0.245,1.96,-,-,26.6,-,84.09,57.0,-
147,臺北市,2007/09/06,士林,2.8,0.59,-,42.7,61,62,37.0,25.16,2.95,22.21,-,-,-,-,-,26.01,-,80.24,56.0,-
148,臺北市,2007/09/06,萬華,3.7,0.91,-,36.7,46,59,41.0,32.92,4.79,28.13,-,-,-,-,-,27.41,-,77.57,54.0,-
149,臺北市,2007/09/06,陽明,2.1,0.24,385.22,64.4,72,35,30.0,3.73,1.0,2.73,-,-,-,-,-,19.79,-,93.07,61.0,-
150,臺北市,2007/09/06,中山,3.7,0.83,-,31.9,38,67,44.0,40.76,8.65,32.11,2.375,0.339,2.04,-,-,27.0,-,81.85,58.0,-
151,臺北市,2007/09/05,松山,3.3,0.74,396.7,19.1,29,29,25.0,39.85,8.65,31.21,2.276,0.335,1.94,-,-,25.61,-,90.18,29.0,-
152,臺北市,2007/09/05,古亭,2.9,1.03,-,10.9,16,39,-,56.0,23.24,32.76,2.367,0.413,1.95,-,-,25.73,-,93.87,39.0,-
153,臺北市,2007/09/05,士林,2.3,0.63,-,18.1,34,42,24.0,32.85,4.11,28.74,-,-,-,-,-,26.18,-,85.95,42.0,-
154,臺北市,2007/09/05,萬華,3.8,1.06,-,15.1,24,33,24.0,46.52,13.46,33.05,-,-,-,-,-,26.45,-,87.58,33.0,-
155,臺北市,2007/09/05,陽明,1.9,0.21,389.38,46.6,61,9,8.0,4.29,1.17,3.12,-,-,-,-,-,20.47,-,94.35,54.0,-
156,臺北市,2007/09/05,中山,3.6,1.1,-,12.2,20,41,26.0,56.69,17.53,39.17,2.639,0.518,2.12,-,-,26.47,-,91.38,41.0,-
157,臺北市,2007/09/04,松山,3.6,0.78,407.35,21.2,41,38,30.0,41.65,9.43,32.21,2.348,0.378,1.97,-,-,27.33,-,79.5,49.0,-
158,臺北市,2007/09/04,古亭,3.4,0.95,-,17.0,39,51,33.0,50.08,16.36,33.72,2.388,0.446,1.94,-,-,27.38,-,84.46,63.0,-
159,臺北市,2007/09/04,士林,3.6,0.74,-,18.7,39,51,26.0,38.29,9.06,29.22,-,-,-,-,-,27.12,-,80.19,52.0,-
160,臺北市,2007/09/04,萬華,3.2,0.93,-,24.3,48,45,27.0,40.55,9.17,31.38,-,-,-,-,-,28.25,-,76.32,65.0,-
161,臺北市,2007/09/04,陽明,3.2,0.17,390.41,36.9,49,19,14.0,7.99,1.86,6.13,-,-,-,-,-,21.77,-,88.43,44.0,-
162,臺北市,2007/09/04,中山,3.8,0.92,-,16.3,32,47,31.0,49.26,13.84,35.41,2.485,0.452,2.03,-,-,27.88,-,84.0,47.0,-
163,臺北市,2007/09/03,松山,4.3,0.84,410.0,20.8,43,36,28.0,45.92,12.68,33.25,2.374,0.4,1.97,-,-,27.37,-,79.05,54.0,-
