序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
67,臺北市,2008/06/19,松山,7.3,0.67,409.06,28.0,63,43,29.0,36.32,6.2,30.12,2.229,0.278,1.95,-,28.82,-,72.67,108.0,-
68,臺北市,2008/06/19,古亭,6.1,0.87,-,31.2,78,50,34.0,42.8,14.04,28.76,2.281,0.365,1.92,-,28.25,-,78.54,90.0,-
69,臺北市,2008/06/19,中山,5.0,1.02,-,28.3,66,52,35.0,49.95,14.67,35.28,2.452,0.432,2.02,-,28.43,-,74.68,97.0,-
70,臺北市,2008/06/19,萬華,4.8,0.88,-,33.6,78,41,30.0,32.53,6.8,25.74,-,-,-,-,28.37,-,78.97,96.0,-
71,臺北市,2008/06/19,陽明,3.0,0.18,407.94,39.0,69,22,18.0,5.26,0.9,4.32,-,-,-,-,22.84,-,80.62,79.0,-
72,臺北市,2008/06/19,士林,4.0,0.58,-,26.7,61,50,22.0,27.58,5.8,21.78,-,-,-,-,28.61,-,75.9,76.0,-
73,臺北市,2008/06/18,松山,5.1,0.66,407.51,14.1,26,37,25.0,39.84,12.07,27.76,2.288,0.313,1.98,-,27.97,-,76.18,38.0,-
74,臺北市,2008/06/18,古亭,4.0,0.82,-,21.4,46,44,27.0,43.12,13.78,29.35,2.261,0.338,1.92,-,27.54,-,81.72,67.0,-
75,臺北市,2008/06/18,中山,3.7,1.07,-,20.9,45,48,31.0,58.53,23.29,35.24,2.516,0.447,2.07,-,27.6,-,78.74,58.0,-
76,臺北市,2008/06/18,萬華,3.6,0.79,-,25.5,53,37,25.0,30.27,6.04,24.24,-,-,-,-,27.86,-,79.87,67.0,-
77,臺北市,2008/06/18,陽明,2.2,0.16,409.36,35.5,52,17,13.0,4.24,0.99,3.25,-,-,-,-,22.17,-,83.48,49.0,-
78,臺北市,2008/06/18,士林,3.3,0.69,-,25.1,57,53,24.0,32.03,6.85,25.14,-,-,-,-,27.73,-,80.39,64.0,-
79,臺北市,2008/06/17,松山,4.8,0.66,403.19,11.0,25,38,20.0,43.75,17.33,26.41,2.234,0.305,1.93,-,27.7,-,77.74,38.0,-
80,臺北市,2008/06/17,古亭,2.9,0.82,-,17.3,42,36,20.0,42.44,17.5,24.95,2.235,0.324,1.91,-,27.26,-,84.22,76.0,-
81,臺北市,2008/06/17,中山,4.2,1.05,-,15.4,34,36,26.0,59.96,26.72,33.24,2.448,0.449,2.0,-,27.23,-,80.48,64.0,-
82,臺北市,2008/06/17,萬華,3.3,0.96,-,23.5,53,30,19.0,37.9,12.02,25.88,-,-,-,-,27.62,-,82.46,93.0,-
83,臺北市,2008/06/17,陽明,2.0,0.12,405.15,34.1,42,13,9.0,2.95,0.84,2.12,-,-,-,-,22.02,-,84.65,42.0,-
84,臺北市,2008/06/17,士林,3.1,0.74,-,16.5,40,45,15.0,38.81,12.78,26.03,-,-,-,-,27.54,-,81.34,63.0,-
85,臺北市,2008/06/16,松山,3.5,0.61,403.14,9.3,18,30,18.0,37.61,10.48,27.12,2.176,0.273,1.9,-,27.08,-,82.3,30.0,-
86,臺北市,2008/06/16,古亭,3.5,0.74,-,11.5,21,30,18.0,41.88,16.83,25.05,2.179,0.284,1.9,-,26.47,-,87.06,30.0,-
87,臺北市,2008/06/16,中山,2.9,0.9,-,10.0,18,29,-,51.69,20.75,30.94,2.399,0.363,2.04,-,26.55,-,84.08,29.0,-
88,臺北市,2008/06/16,萬華,3.0,0.82,-,14.1,25,26,16.0,34.28,9.43,24.85,-,-,-,-,26.67,-,86.66,30.0,-
89,臺北市,2008/06/16,陽明,2.2,0.13,409.8,30.3,39,11,8.0,4.32,1.03,3.28,-,-,-,-,21.34,-,86.07,39.0,-
90,臺北市,2008/06/16,士林,2.3,0.6,-,13.9,28,41,15.0,33.87,8.82,25.05,-,-,-,-,26.78,-,84.5,41.0,-
91,臺北市,2008/06/15,松山,3.6,0.56,400.26,13.8,31,29,16.0,32.22,13.72,18.5,2.183,0.236,1.95,-,27.3,-,76.83,37.0,-
92,臺北市,2008/06/15,古亭,3.1,0.55,-,15.0,32,28,16.0,30.3,14.17,16.13,2.104,0.205,1.9,-,26.95,-,80.25,34.0,-
93,臺北市,2008/06/15,中山,3.9,0.68,-,14.0,29,31,-,42.62,20.08,22.54,2.273,0.28,1.99,-,26.85,-,78.28,33.0,-
94,臺北市,2008/06/15,萬華,1.9,0.62,-,16.3,34,23,14.0,26.47,10.23,16.24,-,-,-,-,27.19,-,78.86,36.0,-
95,臺北市,2008/06/15,陽明,2.2,0.14,406.66,26.5,35,12,8.0,5.88,2.29,3.59,-,-,-,-,21.93,-,82.39,33.0,-
96,臺北市,2008/06/15,士林,2.5,0.58,-,19.9,36,35,8.0,32.85,13.57,19.28,-,-,-,-,26.99,-,80.08,35.0,-
97,臺北市,2008/06/14,松山,3.3,0.8,414.81,3.8,8,29,18.0,52.23,28.99,23.24,2.475,0.414,2.06,-,25.69,-,85.24,29.0,-
98,臺北市,2008/06/14,古亭,3.1,0.91,-,4.7,8,36,17.0,54.86,31.12,23.74,2.364,0.376,1.99,-,25.54,-,89.3,36.0,-
99,臺北市,2008/06/14,中山,3.7,1.28,-,5.4,9,36,26.0,87.54,57.11,30.43,2.704,0.539,2.17,-,25.49,-,86.6,36.0,-
100,臺北市,2008/06/14,萬華,2.2,0.99,-,6.6,10,28,19.0,47.26,22.8,24.46,-,-,-,-,25.75,-,88.18,28.0,-
101,臺北市,2008/06/14,陽明,1.7,0.12,408.77,25.1,31,9,7.0,3.26,1.25,2.01,-,-,-,-,20.29,-,83.96,32.0,-
102,臺北市,2008/06/14,士林,2.6,0.68,-,6.0,12,34,11.0,39.67,18.5,21.17,-,-,-,-,25.44,-,85.37,34.0,-
103,臺北市,2008/06/13,松山,4.4,0.63,403.24,14.8,34,30,18.0,39.25,11.81,27.43,2.22,0.296,1.92,-,26.43,-,77.91,50.0,-
104,臺北市,2008/06/13,古亭,3.8,0.75,-,20.8,48,33,20.0,42.33,15.23,27.11,2.169,0.283,1.89,-,26.27,-,81.52,91.0,-
105,臺北市,2008/06/13,中山,5.7,0.83,-,17.0,37,33,25.0,51.27,19.97,31.31,2.262,0.326,1.94,-,26.12,-,79.01,64.0,-
106,臺北市,2008/06/13,萬華,3.5,0.77,-,23.7,56,29,17.0,32.74,8.07,24.67,-,-,-,-,26.49,-,80.26,90.0,-
107,臺北市,2008/06/13,陽明,2.8,0.12,404.62,29.5,40,10,9.0,4.79,1.71,3.08,-,-,-,-,21.26,-,83.48,38.0,-
108,臺北市,2008/06/13,士林,3.9,0.54,-,20.8,44,37,15.0,31.46,9.93,21.53,-,-,-,-,26.47,-,79.56,61.0,-
109,臺北市,2008/06/12,松山,4.7,0.74,404.55,8.9,20,30,21.0,47.27,16.9,30.37,2.321,0.407,1.91,-,26.4,-,75.0,30.0,-
110,臺北市,2008/06/12,古亭,3.4,0.82,-,11.8,22,36,20.0,48.78,18.9,29.89,2.332,0.408,1.92,-,25.93,-,80.65,36.0,-
111,臺北市,2008/06/12,中山,6.1,1.08,-,10.6,20,39,27.0,66.52,30.87,35.66,2.524,0.481,2.04,-,25.98,-,77.38,39.0,-
112,臺北市,2008/06/12,萬華,4.6,0.73,-,14.3,27,28,17.0,36.67,10.26,26.41,-,-,-,-,26.46,-,77.93,30.0,-
113,臺北市,2008/06/12,陽明,1.8,0.15,396.74,28.0,44,10,8.0,5.57,1.31,4.27,-,-,-,-,19.96,-,84.45,42.0,-
114,臺北市,2008/06/12,士林,4.8,0.53,-,12.5,26,36,13.0,33.72,9.0,24.71,-,-,-,-,25.86,-,79.26,36.0,-
115,臺北市,2008/06/11,松山,3.7,0.63,408.18,13.9,35,39,24.0,34.26,10.95,23.31,2.226,0.311,1.92,-,29.9,-,63.39,42.0,-
116,臺北市,2008/06/11,古亭,4.3,0.7,-,19.7,42,46,26.0,35.55,12.5,23.05,2.159,0.299,1.86,-,29.58,-,68.46,47.0,-
117,臺北市,2008/06/11,中山,5.2,0.93,-,16.3,33,50,31.0,46.8,17.25,29.55,2.337,0.367,1.97,-,29.66,-,64.66,50.0,-
118,臺北市,2008/06/11,萬華,3.9,0.56,-,22.4,46,37,21.0,22.99,4.64,18.35,-,-,-,-,30.25,-,64.65,50.0,-
119,臺北市,2008/06/11,陽明,4.1,0.18,393.92,25.9,41,20,11.0,9.24,1.86,7.38,-,-,-,-,22.95,-,74.31,46.0,-
120,臺北市,2008/06/11,士林,4.9,0.48,-,19.1,43,49,21.0,25.12,5.39,19.74,-,-,-,-,29.61,-,65.74,49.0,-
121,臺北市,2008/06/10,松山,3.5,0.68,416.63,22.7,54,46,33.0,36.24,10.11,26.13,2.257,0.336,1.92,-,28.13,-,75.81,72.0,-
122,臺北市,2008/06/10,古亭,5.2,0.82,-,25.7,58,53,34.0,42.73,14.24,28.49,2.275,0.351,1.92,-,28.19,-,78.73,78.0,-
123,臺北市,2008/06/10,中山,5.6,0.99,-,24.9,51,57,37.0,52.73,17.42,35.31,2.441,0.401,2.04,-,28.08,-,75.91,62.0,-
124,臺北市,2008/06/10,萬華,3.5,0.83,-,29.5,64,45,29.0,35.19,8.53,26.66,-,-,-,-,29.35,-,74.42,73.0,-
125,臺北市,2008/06/10,陽明,3.1,0.18,395.76,35.5,50,26,17.0,7.65,1.23,6.42,-,-,-,-,22.29,-,82.28,53.0,-
126,臺北市,2008/06/10,士林,4.6,0.54,-,25.3,56,54,22.0,27.44,4.31,23.13,-,-,-,-,28.7,-,73.94,61.0,-
127,臺北市,2008/06/09,松山,3.6,0.86,422.16,18.4,47,43,30.0,45.83,14.52,31.31,2.491,0.395,2.1,-,27.37,-,77.59,72.0,-
128,臺北市,2008/06/09,古亭,3.8,0.9,-,19.8,47,47,27.0,45.76,17.52,28.24,2.27,0.352,1.92,-,27.16,-,80.16,56.0,-
129,臺北市,2008/06/09,中山,4.9,1.2,-,19.3,44,49,32.0,69.98,33.21,36.77,2.544,0.478,2.07,-,27.11,-,78.98,61.0,-
130,臺北市,2008/06/09,萬華,3.6,0.87,-,22.6,52,35,24.0,35.81,10.4,25.42,-,-,-,-,28.3,-,75.66,55.0,-
131,臺北市,2008/06/09,陽明,3.0,0.17,393.45,33.8,47,22,14.0,6.19,0.72,5.44,-,-,-,-,22.22,-,81.66,50.0,-
132,臺北市,2008/06/09,士林,3.6,0.67,-,21.2,51,45,22.0,35.17,9.06,26.11,-,-,-,-,27.7,-,78.56,73.0,-
133,臺北市,2008/06/08,松山,6.1,0.72,416.62,24.6,53,46,34.0,34.12,7.0,27.13,2.274,0.28,1.99,-,27.92,-,72.11,54.0,-
134,臺北市,2008/06/08,古亭,5.8,0.68,-,24.0,51,50,35.0,33.97,8.39,25.58,2.17,0.247,1.92,-,27.97,-,74.72,52.0,-
135,臺北市,2008/06/08,中山,7.0,0.93,-,25.4,58,53,40.0,49.21,15.12,34.09,2.364,0.33,2.03,-,27.44,-,76.02,59.0,-
136,臺北市,2008/06/08,萬華,6.0,0.76,-,28.6,61,42,35.0,29.85,5.62,24.24,-,-,-,-,29.12,-,70.24,66.0,-
137,臺北市,2008/06/08,陽明,5.0,0.29,402.06,40.9,62,34,27.0,9.4,0.93,8.48,-,-,-,-,21.86,-,83.81,66.0,-
138,臺北市,2008/06/08,士林,4.4,0.62,-,29.7,65,53,27.0,26.86,5.99,20.87,-,-,-,-,27.69,-,78.68,64.0,-
139,臺北市,2008/06/07,松山,4.1,0.55,395.61,23.6,32,49,34.0,28.15,5.69,22.46,2.076,0.205,1.87,-,27.91,-,70.61,49.0,-
140,臺北市,2008/06/07,古亭,6.5,0.7,-,23.1,40,58,41.0,36.52,8.23,28.29,2.258,0.304,1.95,-,28.0,-,74.85,54.0,-
141,臺北市,2008/06/07,中山,4.9,0.83,-,20.9,35,56,38.0,46.39,14.78,31.61,2.269,0.284,1.99,-,27.4,-,73.82,53.0,-
142,臺北市,2008/06/07,萬華,5.7,0.72,-,27.3,44,50,34.0,30.2,4.51,25.68,-,-,-,-,28.64,-,72.39,50.0,-
143,臺北市,2008/06/07,陽明,2.3,0.2,390.07,35.6,44,21,14.0,6.15,0.77,5.36,-,-,-,-,20.94,-,81.52,45.0,-
144,臺北市,2008/06/07,士林,2.9,0.41,-,30.4,45,50,22.0,20.71,3.02,17.7,-,-,-,-,27.37,-,73.98,50.0,-
145,臺北市,2008/06/06,松山,6.4,0.61,398.85,19.9,31,44,28.0,31.07,5.71,25.37,2.137,0.268,1.87,-,27.79,-,67.98,44.0,-
146,臺北市,2008/06/06,古亭,5.4,0.73,-,23.0,34,53,34.0,36.06,8.25,27.81,2.254,0.322,1.93,-,27.66,-,73.01,52.0,-
147,臺北市,2008/06/06,中山,6.9,1.1,-,17.1,25,53,37.0,54.77,19.89,34.88,2.45,0.463,1.99,-,27.45,-,70.98,52.0,-
148,臺北市,2008/06/06,萬華,4.8,0.61,-,27.4,40,42,27.0,23.28,2.38,20.89,-,-,-,-,28.14,-,70.78,42.0,-
149,臺北市,2008/06/06,陽明,2.3,0.2,395.22,39.9,49,23,15.0,5.71,0.94,4.76,-,-,-,-,20.53,-,83.95,44.0,-
150,臺北市,2008/06/06,士林,3.0,0.35,-,29.8,39,47,22.0,17.29,2.96,14.34,-,-,-,-,27.53,-,71.45,47.0,-
151,臺北市,2008/06/05,松山,3.6,0.63,409.95,20.6,38,41,23.0,32.45,10.49,21.96,2.221,0.255,1.97,-,27.53,-,67.37,41.0,-
152,臺北市,2008/06/05,古亭,3.6,0.62,-,26.4,45,41,26.0,29.66,9.29,20.37,2.123,0.196,1.93,-,27.72,-,70.62,46.0,-
153,臺北市,2008/06/05,中山,4.2,0.82,-,23.2,42,43,33.0,43.66,14.79,28.87,2.335,0.309,2.03,-,27.4,-,68.85,43.0,-
154,臺北市,2008/06/05,萬華,3.4,0.72,-,28.5,52,35,21.0,24.9,5.38,19.52,-,-,-,-,28.6,-,66.71,57.0,-
155,臺北市,2008/06/05,陽明,3.3,0.2,392.12,42.8,49,16,11.0,5.98,1.83,4.15,-,-,-,-,21.48,-,79.02,44.0,-
156,臺北市,2008/06/05,士林,3.0,0.55,-,33.5,54,49,23.0,23.09,4.13,18.96,-,-,-,-,27.67,-,69.1,55.0,-
157,臺北市,2008/06/04,松山,8.4,1.05,419.63,22.5,60,55,35.0,60.1,17.36,42.74,2.603,0.487,2.12,-,25.05,-,73.31,74.0,-
158,臺北市,2008/06/04,古亭,8.8,1.07,-,29.7,74,62,36.0,57.12,17.12,40.01,2.566,0.505,2.06,-,24.85,-,78.59,81.0,-
159,臺北市,2008/06/04,中山,6.8,1.36,-,23.5,59,58,38.0,77.96,29.72,48.24,2.737,0.553,2.18,-,24.77,-,75.08,69.0,-
160,臺北市,2008/06/04,萬華,7.1,1.17,-,33.9,81,49,34.0,49.51,12.43,37.09,-,-,-,-,25.67,-,75.11,82.0,-
161,臺北市,2008/06/04,陽明,3.3,0.26,395.85,52.6,69,26,21.0,7.41,2.1,5.31,-,-,-,-,20.63,-,82.81,65.0,-
162,臺北市,2008/06/04,士林,4.9,0.77,-,33.3,73,53,23.0,39.37,8.23,31.14,-,-,-,-,24.78,-,74.3,80.0,-
163,臺北市,2008/06/03,松山,3.6,0.65,397.98,15.7,24,27,18.0,51.08,17.3,33.79,2.185,0.277,1.91,-,22.59,-,87.18,27.0,-
164,臺北市,2008/06/03,古亭,2.6,0.66,-,25.4,34,31,19.0,38.8,9.97,28.83,2.141,0.223,1.92,-,22.6,-,91.32,37.0,-
165,臺北市,2008/06/03,中山,3.4,1.07,-,18.4,27,37,25.0,70.4,30.24,40.16,2.391,0.401,1.99,-,22.29,-,89.42,37.0,-
166,臺北市,2008/06/03,萬華,2.6,0.91,-,23.1,30,26,17.0,40.3,9.32,30.98,-,-,-,-,22.62,-,91.41,30.0,-
167,臺北市,2008/06/03,陽明,0.9,0.19,388.32,55.5,61,5,2.0,3.11,1.34,1.76,-,-,-,-,18.14,-,72.85,59.0,-
168,臺北市,2008/06/03,士林,2.2,0.61,-,20.5,35,33,12.0,30.85,4.94,25.91,-,-,-,-,22.23,-,89.67,36.0,-
