序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
23,臺北市,2013/10/28,古亭,1.7,0.35,-,31.7,37,37,17.0,19.81,4.49,15.32,1.995,0.096,1.9,2.53,22.65,67.38,37.0
24,臺北市,2013/10/28,中山,2.8,0.59,-,20.4,32,55,30.0,38.11,11.88,26.23,2.172,0.234,1.94,2.07,23.22,65.93,52.0
25,臺北市,2013/10/28,大同,3.7,1.48,-,-,-,60,43.0,80.12,46.48,33.63,2.538,0.542,2.0,-,-,-,55.0
26,臺北市,2013/10/28,萬華,2.3,0.44,-,26.1,35,33,16.0,29.34,6.62,22.72,-,-,-,2.45,23.29,63.76,34.0
27,臺北市,2013/10/28,陽明,1.4,0.13,393.42,48.3,49,17,11.0,2.54,1.01,1.52,-,-,-,-,16.43,94.89,42.0
28,臺北市,2013/10/28,士林,2.6,0.23,-,39.4,44,34,18.0,12.71,1.67,11.04,-,-,-,2.25,23.19,63.56,38.0
29,臺北市,2013/10/27,松山,2.2,0.3,413.07,40.6,47,39,26.0,15.81,1.55,14.25,1.879,0.104,1.78,2.28,21.41,59.18,43.0
30,臺北市,2013/10/27,古亭,1.6,0.35,-,35.0,43,52,26.0,17.14,2.92,14.22,1.992,0.084,1.91,2.77,21.27,65.02,51.0
31,臺北市,2013/10/27,中山,2.0,0.46,-,29.3,38,64,34.0,28.88,7.01,21.87,2.078,0.158,1.92,2.12,22.4,60.72,57.0
32,臺北市,2013/10/27,大同,3.1,1.05,-,-,-,69,48.0,63.92,29.72,34.2,2.342,0.344,2.0,-,-,-,60.0
33,臺北市,2013/10/27,萬華,2.1,0.39,-,29.8,39,46,25.0,24.41,3.3,21.11,-,-,-,2.27,21.95,61.21,46.0
34,臺北市,2013/10/27,陽明,1.4,0.13,394.52,50.3,54,24,14.0,2.59,0.45,2.1,-,-,-,-,14.6,95.09,48.0
35,臺北市,2013/10/27,士林,1.7,0.25,-,42.6,48,49,24.0,11.69,2.18,9.51,-,-,-,2.33,21.92,61.02,49.0
36,臺北市,2013/10/26,松山,2.3,0.42,418.82,52.6,63,71,40.0,14.75,1.0,13.74,1.935,0.088,1.85,1.96,20.45,55.2,60.0
37,臺北市,2013/10/26,古亭,2.1,0.5,-,41.5,53,77,37.0,20.01,3.02,16.99,2.052,0.112,1.94,2.18,20.32,62.31,64.0
38,臺北市,2013/10/26,中山,3.2,0.56,-,42.5,51,92,49.0,23.92,3.33,20.59,2.027,0.139,1.89,2.04,21.22,57.63,71.0
39,臺北市,2013/10/26,大同,3.6,1.24,-,-,-,97,60.0,65.48,27.34,38.14,2.328,0.358,1.97,-,-,-,74.0
40,臺北市,2013/10/26,萬華,2.8,0.54,-,40.1,49,74,41.0,24.56,2.41,22.14,-,-,-,1.58,21.2,55.67,62.0
41,臺北市,2013/10/26,陽明,2.2,0.3,401.66,57.8,69,45,30.0,4.15,0.41,3.73,-,-,-,-,13.08,94.6,61.0
42,臺北市,2013/10/26,士林,2.4,0.41,-,51.4,61,74,44.0,13.39,2.27,11.12,-,-,-,2.29,20.84,57.25,62.0
43,臺北市,2013/10/25,松山,3.2,0.39,417.14,49.0,56,77,35.0,13.17,0.9,12.27,1.9,0.074,1.83,2.09,20.36,57.53,64.0
44,臺北市,2013/10/25,古亭,2.9,0.56,-,39.3,43,90,39.0,24.66,5.79,18.87,2.077,0.138,1.94,2.07,20.53,61.67,70.0
45,臺北市,2013/10/25,中山,3.0,0.61,-,39.1,46,109,46.0,28.38,6.81,21.57,2.026,0.15,1.88,2.27,21.01,60.5,80.0
46,臺北市,2013/10/25,大同,3.8,1.14,-,-,-,102,60.0,57.79,25.55,32.24,2.349,0.323,2.03,-,-,-,76.0
47,臺北市,2013/10/25,萬華,3.0,0.58,-,36.2,46,83,40.0,27.04,3.54,23.5,-,-,-,1.42,21.03,58.42,66.0
48,臺北市,2013/10/25,陽明,2.4,0.28,401.37,54.1,57,46,29.0,3.97,1.08,2.89,-,-,-,-,12.92,97.89,59.0
49,臺北市,2013/10/25,士林,2.3,0.36,-,49.0,55,86,38.0,11.02,1.52,9.5,-,-,-,2.42,20.58,59.74,68.0
50,臺北市,2013/10/24,松山,1.6,0.48,419.24,45.2,65,60,37.0,23.71,4.07,19.62,1.989,0.134,1.86,1.69,21.28,71.62,62.0
51,臺北市,2013/10/24,古亭,2.0,0.57,-,38.3,46,66,38.0,27.09,5.07,22.02,2.13,0.178,1.95,1.77,21.18,77.26,58.0
52,臺北市,2013/10/24,中山,1.3,0.73,-,36.7,51,86,46.0,37.25,9.29,27.97,2.131,0.215,1.92,1.88,21.84,74.09,68.0
53,臺北市,2013/10/24,大同,2.8,1.18,-,-,-,86,55.0,44.31,16.02,28.3,2.313,0.31,2.0,-,-,-,68.0
54,臺北市,2013/10/24,萬華,2.5,0.59,-,40.3,48,67,38.0,24.67,2.24,22.44,-,-,-,1.37,21.74,73.36,58.0
55,臺北市,2013/10/24,陽明,2.4,0.25,405.09,63.1,78,33,26.0,4.32,1.68,2.64,-,-,-,-,14.85,99.8,72.0
56,臺北市,2013/10/24,士林,1.4,0.31,-,54.1,70,65,38.0,10.62,1.32,9.3,-,-,-,2.86,21.22,73.84,65.0
57,臺北市,2013/10/23,松山,2.3,0.44,419.13,42.0,56,46,32.0,19.44,1.26,18.17,1.979,0.13,1.85,1.61,22.4,70.86,54.0
58,臺北市,2013/10/23,古亭,1.7,0.61,-,34.5,54,58,34.0,27.08,5.33,21.75,2.144,0.184,1.96,1.92,22.12,79.12,54.0
59,臺北市,2013/10/23,中山,1.9,0.81,-,27.2,40,78,43.0,41.73,9.49,32.25,2.277,0.291,1.99,1.71,22.91,74.97,64.0
60,臺北市,2013/10/23,大同,2.6,1.52,-,-,-,79,53.0,55.49,21.28,34.21,2.562,0.479,2.08,-,-,-,64.0
61,臺北市,2013/10/23,萬華,2.3,0.71,-,31.5,46,59,37.0,30.66,3.58,27.08,-,-,-,1.15,22.75,75.45,54.0
62,臺北市,2013/10/23,陽明,0.7,0.2,405.96,61.3,69,11,7.0,3.46,1.11,2.35,-,-,-,-,15.64,100.0,60.0
63,臺北市,2013/10/23,士林,1.4,0.49,-,39.0,55,57,37.0,21.5,2.54,18.96,-,-,-,2.05,22.02,76.97,54.0
64,臺北市,2013/10/22,松山,3.0,0.5,417.55,49.7,61,62,41.0,19.99,2.25,17.72,1.974,0.123,1.85,1.89,22.47,62.65,56.0
65,臺北市,2013/10/22,古亭,2.3,0.63,-,37.2,51,73,39.0,28.83,6.57,22.25,2.099,0.164,1.94,1.59,22.26,69.28,62.0
66,臺北市,2013/10/22,中山,2.8,0.69,-,39.1,48,83,48.0,32.02,5.49,26.53,2.077,0.18,1.9,1.64,22.96,65.27,66.0
67,臺北市,2013/10/22,大同,3.7,1.99,-,-,-,91,60.0,83.94,44.12,39.82,2.578,0.598,1.98,-,-,-,70.0
68,臺北市,2013/10/22,萬華,2.3,0.7,-,38.0,46,65,40.0,28.77,3.9,24.86,-,-,-,1.27,22.93,64.73,58.0
69,臺北市,2013/10/22,陽明,1.5,0.26,406.3,62.0,67,33,24.0,3.42,1.66,1.76,-,-,-,-,15.23,98.21,58.0
70,臺北市,2013/10/22,士林,1.9,0.51,-,46.6,55,71,40.0,19.49,2.51,16.98,-,-,-,1.86,22.68,64.59,60.0
71,臺北市,2013/10/21,松山,2.4,0.39,411.74,44.8,52,49,31.0,19.17,2.08,17.08,1.913,0.095,1.82,2.01,22.57,70.86,49.0
72,臺北市,2013/10/21,古亭,1.7,0.45,-,40.6,47,56,30.0,21.21,2.88,18.33,2.0,0.106,1.89,2.17,23.1,71.67,53.0
73,臺北市,2013/10/21,中山,2.4,0.63,-,35.4,44,66,39.0,31.65,7.97,23.68,2.009,0.159,1.85,1.5,23.4,70.75,58.0
74,臺北市,2013/10/21,大同,3.1,1.46,-,-,-,82,53.0,71.81,36.32,35.49,2.39,0.473,1.92,-,-,-,66.0
75,臺北市,2013/10/21,萬華,1.5,0.47,-,37.4,44,52,34.0,25.52,2.57,22.95,-,-,-,1.65,23.49,68.67,51.0
76,臺北市,2013/10/21,陽明,2.0,0.2,403.46,59.0,67,28,21.0,2.9,1.7,1.2,-,-,-,-,15.74,99.14,59.0
77,臺北市,2013/10/21,士林,2.1,0.3,-,49.7,60,54,35.0,13.05,2.68,10.37,-,-,-,2.09,23.24,67.48,54.0
78,臺北市,2013/10/20,松山,1.9,0.23,405.86,40.9,47,34,17.0,10.15,1.0,9.15,1.841,0.052,1.79,2.51,24.03,68.47,43.0
79,臺北市,2013/10/20,古亭,1.6,0.31,-,33.1,38,39,19.0,15.66,3.03,12.63,1.943,0.072,1.87,2.45,24.39,70.13,39.0
80,臺北市,2013/10/20,中山,2.0,0.4,-,31.2,34,55,24.0,20.52,4.18,16.35,1.932,0.104,1.83,1.75,24.98,68.1,52.0
81,臺北市,2013/10/20,大同,2.0,0.86,-,-,-,60,38.0,46.79,21.59,25.2,2.143,0.254,1.89,-,-,-,55.0
82,臺北市,2013/10/20,萬華,1.4,0.33,-,31.0,35,34,19.0,19.11,2.79,16.32,-,-,-,1.95,24.82,67.97,34.0
83,臺北市,2013/10/20,陽明,0.7,0.12,398.99,46.7,50,15,10.0,2.78,2.05,0.71,-,-,-,-,17.07,97.88,43.0
84,臺北市,2013/10/20,士林,1.9,0.2,-,40.8,45,37,18.0,8.22,1.43,6.78,-,-,-,2.05,24.49,67.73,41.0
85,臺北市,2013/10/19,松山,2.9,0.39,412.18,21.6,30,24,16.0,23.33,4.36,18.96,1.97,0.142,1.83,1.72,23.54,78.03,33.0
86,臺北市,2013/10/19,古亭,2.3,0.39,-,21.5,27,31,15.0,23.3,5.85,17.45,2.017,0.111,1.91,2.2,24.04,78.71,31.0
87,臺北市,2013/10/19,中山,1.9,0.48,-,19.4,24,43,26.0,27.08,7.02,20.06,2.016,0.155,1.86,1.93,24.69,76.13,43.0
88,臺北市,2013/10/19,大同,3.5,1.27,-,-,-,51,36.0,63.78,36.43,27.36,2.363,0.431,1.93,-,-,-,50.0
89,臺北市,2013/10/19,萬華,2.2,0.37,-,19.2,26,28,15.0,26.34,5.64,20.7,-,-,-,2.25,24.65,75.32,28.0
90,臺北市,2013/10/19,陽明,1.7,0.11,397.6,39.5,40,11,8.0,2.2,1.73,0.47,-,-,-,-,18.11,97.9,35.0
91,臺北市,2013/10/19,士林,1.0,0.21,-,31.3,35,26,15.0,10.78,2.41,8.37,-,-,-,2.11,24.71,72.05,31.0
92,臺北市,2013/10/18,松山,2.9,0.35,412.39,23.2,28,26,13.0,23.95,4.29,19.65,1.959,0.132,1.83,1.98,23.26,72.76,29.0
93,臺北市,2013/10/18,古亭,2.3,0.41,-,23.5,31,34,13.0,24.57,6.71,17.86,2.023,0.127,1.9,2.35,23.5,75.3,34.0
94,臺北市,2013/10/18,中山,2.4,0.52,-,19.4,25,49,24.0,31.04,8.98,22.05,2.057,0.185,1.87,2.23,24.42,71.79,49.0
95,臺北市,2013/10/18,大同,3.1,1.51,-,-,-,57,37.0,85.02,52.57,32.45,2.549,0.59,1.96,-,-,-,54.0
96,臺北市,2013/10/18,萬華,2.4,0.41,-,19.5,27,30,16.0,29.74,7.09,22.66,-,-,-,2.42,24.3,71.24,30.0
97,臺北市,2013/10/18,陽明,0.6,0.1,397.24,40.4,42,11,6.0,1.61,0.8,0.78,-,-,-,-,17.41,98.64,37.0
98,臺北市,2013/10/18,士林,2.3,0.21,-,33.5,37,27,13.0,11.3,2.66,8.64,-,-,-,2.47,24.57,68.09,35.0
99,臺北市,2013/10/17,松山,2.2,0.39,416.99,23.9,33,26,14.0,26.8,5.43,21.37,2.024,0.17,1.85,1.98,22.09,72.05,38.0
100,臺北市,2013/10/17,古亭,2.0,0.42,-,25.3,33,38,14.0,25.78,6.71,19.07,2.057,0.128,1.93,2.42,22.58,71.71,38.0
101,臺北市,2013/10/17,中山,2.3,0.58,-,20.5,29,48,20.0,34.63,10.65,23.98,2.098,0.205,1.89,1.94,23.17,72.9,48.0
102,臺北市,2013/10/17,大同,3.1,1.31,-,-,-,57,37.0,74.25,41.83,32.43,2.461,0.495,1.97,-,-,-,54.0
103,臺北市,2013/10/17,萬華,2.4,0.44,-,21.9,30,32,17.0,29.78,6.86,22.91,-,-,-,2.35,23.15,70.1,32.0
104,臺北市,2013/10/17,陽明,1.1,0.12,398.62,43.9,46,13,7.0,2.85,1.05,1.81,-,-,-,-,15.85,98.9,39.0
105,臺北市,2013/10/17,士林,1.6,0.22,-,35.3,39,33,14.0,13.99,2.44,11.58,-,-,-,2.24,23.12,68.73,37.0
106,臺北市,2013/10/16,松山,1.9,0.3,413.66,37.0,46,44,24.0,15.65,1.9,13.75,1.915,0.102,1.81,2.47,21.79,56.23,44.0
107,臺北市,2013/10/16,古亭,1.7,0.38,-,33.4,40,55,21.0,19.71,3.54,16.17,2.004,0.099,1.91,2.61,22.24,57.69,52.0
108,臺北市,2013/10/16,中山,2.1,0.47,-,31.3,36,70,29.0,26.0,7.07,18.92,1.993,0.14,1.85,1.98,22.86,56.66,60.0
109,臺北市,2013/10/16,大同,3.0,1.23,-,-,-,73,44.0,64.05,35.17,28.88,2.318,0.403,1.91,-,-,-,62.0
110,臺北市,2013/10/16,萬華,1.7,0.4,-,29.9,36,52,25.0,23.37,4.48,18.89,-,-,-,2.11,22.54,56.08,51.0
111,臺北市,2013/10/16,陽明,1.0,0.17,400.35,44.7,51,26,14.0,2.66,0.34,2.37,-,-,-,-,14.56,92.83,45.0
112,臺北市,2013/10/16,士林,1.7,0.23,-,40.5,46,53,25.0,9.82,2.43,7.39,-,-,-,2.5,22.36,57.27,52.0
113,臺北市,2013/10/15,松山,2.4,0.32,413.76,35.1,48,44,23.0,17.16,2.82,14.33,1.949,0.114,1.84,1.88,24.74,65.61,48.0
114,臺北市,2013/10/15,古亭,1.7,0.46,-,27.9,40,54,22.0,23.47,5.03,18.44,2.042,0.139,1.9,2.11,25.02,68.33,52.0
115,臺北市,2013/10/15,中山,1.8,0.48,-,31.6,42,65,29.0,23.96,5.17,18.79,2.026,0.151,1.88,1.7,25.93,63.49,58.0
116,臺北市,2013/10/15,大同,2.7,1.33,-,-,-,74,42.0,55.83,27.59,28.24,2.354,0.421,1.93,-,-,-,62.0
117,臺北市,2013/10/15,萬華,2.2,0.42,-,30.3,38,50,23.0,22.53,3.87,18.66,-,-,-,1.49,25.76,63.67,50.0
118,臺北市,2013/10/15,陽明,1.6,0.14,396.77,48.4,57,23,14.0,2.24,0.83,1.4,-,-,-,-,17.63,98.76,54.0
119,臺北市,2013/10/15,士林,1.8,0.26,-,38.3,52,52,23.0,11.17,1.75,9.42,-,-,-,2.29,25.37,63.63,51.0
120,臺北市,2013/10/14,松山,2.5,0.44,414.35,21.9,35,47,24.0,28.3,6.57,21.73,2.0,0.172,1.83,1.92,26.05,69.86,47.0
121,臺北市,2013/10/14,古亭,1.7,0.43,-,26.8,32,46,20.0,21.33,5.95,15.38,1.994,0.12,1.87,2.44,26.55,69.92,46.0
122,臺北市,2013/10/14,中山,2.6,0.49,-,23.7,28,63,29.0,27.39,8.37,19.02,2.017,0.165,1.85,2.19,27.21,69.3,56.0
123,臺北市,2013/10/14,大同,3.9,1.43,-,-,-,67,39.0,69.05,39.51,29.54,-,-,-,-,-,-,58.0
124,臺北市,2013/10/14,萬華,2.7,0.41,-,22.7,31,45,21.0,27.22,5.85,21.37,-,-,-,2.62,27.07,68.84,45.0
125,臺北市,2013/10/14,陽明,0.7,0.12,392.19,41.9,44,18,10.0,2.11,1.05,1.04,-,-,-,-,19.5,99.28,38.0
126,臺北市,2013/10/14,士林,2.6,0.24,-,33.7,39,44,21.0,12.14,2.39,9.75,-,-,-,2.45,26.91,68.05,44.0
127,臺北市,2013/10/13,松山,2.1,0.27,406.88,36.2,44,41,18.0,14.5,1.67,12.83,1.872,0.081,1.79,2.68,25.74,65.24,41.0
128,臺北市,2013/10/13,古亭,1.4,0.23,-,37.8,41,44,16.0,11.14,2.27,8.87,1.861,0.038,1.82,3.46,26.05,67.15,44.0
129,臺北市,2013/10/13,中山,1.8,0.36,-,31.7,39,63,24.0,20.33,4.58,15.75,1.941,0.116,1.83,2.78,26.6,66.08,56.0
130,臺北市,2013/10/13,大同,2.9,0.71,-,-,-,65,34.0,43.11,19.24,23.87,-,-,-,-,-,-,58.0
131,臺北市,2013/10/13,萬華,1.4,0.26,-,32.1,38,42,17.0,20.0,3.9,16.1,-,-,-,4.05,26.48,65.52,42.0
132,臺北市,2013/10/13,陽明,0.8,0.11,392.74,45.6,49,18,10.0,2.12,1.34,0.77,-,-,-,-,18.48,99.26,42.0
133,臺北市,2013/10/13,士林,2.5,0.16,-,42.5,47,44,19.0,6.76,1.85,4.91,-,-,-,3.15,26.38,65.27,44.0
134,臺北市,2013/10/12,松山,3.7,0.35,409.92,50.9,70,64,35.0,16.18,1.23,14.95,1.893,0.082,1.81,2.92,25.03,76.09,65.0
135,臺北市,2013/10/12,古亭,2.5,0.39,-,46.2,64,68,32.0,16.7,2.19,14.51,1.946,0.076,1.87,3.17,24.98,82.35,59.0
136,臺北市,2013/10/12,中山,2.6,0.49,-,44.4,65,89,40.0,22.73,3.8,18.93,1.963,0.129,1.83,2.47,25.92,75.42,70.0
137,臺北市,2013/10/12,大同,4.1,0.74,-,-,-,91,48.0,37.34,12.25,25.09,2.114,0.215,1.9,-,-,-,70.0
138,臺北市,2013/10/12,萬華,3.6,0.38,-,44.7,65,69,34.0,22.41,3.58,18.83,-,-,-,3.55,25.83,75.38,60.0
139,臺北市,2013/10/12,陽明,2.1,0.22,395.92,64.6,85,15,8.0,3.41,1.25,2.16,-,-,-,-,18.73,100.0,75.0
140,臺北市,2013/10/12,士林,2.1,0.26,-,59.3,79,72,38.0,6.92,1.27,5.65,-,-,-,3.29,25.86,71.48,73.0
141,臺北市,2013/10/11,松山,3.4,0.3,408.85,26.8,35,28,21.0,16.68,2.69,13.98,1.859,0.087,1.77,2.4,25.95,80.16,43.0
142,臺北市,2013/10/11,古亭,3.2,0.4,-,20.6,28,32,19.0,22.0,4.84,17.17,1.937,0.1,1.84,2.95,26.18,84.21,32.0
143,臺北市,2013/10/11,中山,0.8,0.51,-,21.0,26,47,27.0,24.8,8.09,16.71,1.967,0.156,1.81,2.18,27.05,78.21,47.0
144,臺北市,2013/10/11,大同,3.4,1.3,-,-,-,59,33.0,72.84,44.81,28.03,2.285,0.412,1.87,-,-,-,54.0
145,臺北市,2013/10/11,萬華,2.1,0.35,-,21.2,27,31,18.0,23.82,5.83,17.98,-,-,-,2.99,26.95,78.17,34.0
146,臺北市,2013/10/11,陽明,1.1,0.12,392.46,34.3,45,8,7.0,3.09,1.52,1.57,-,-,-,-,20.12,100.0,46.0
147,臺北市,2013/10/11,士林,0.9,0.22,-,29.4,36,28,21.0,10.37,3.27,7.11,-,-,-,2.51,27.04,73.08,39.0
148,臺北市,2013/10/10,松山,3.0,0.29,409.26,23.7,31,26,20.0,16.05,3.02,13.03,1.884,0.094,1.79,2.11,26.14,79.47,31.0
149,臺北市,2013/10/10,古亭,3.1,0.31,-,22.3,27,38,19.0,18.48,4.36,14.12,1.923,0.088,1.84,2.77,26.77,80.47,38.0
150,臺北市,2013/10/10,中山,3.0,0.41,-,19.6,25,45,26.0,22.01,6.46,15.56,1.957,0.14,1.82,2.19,27.41,77.74,45.0
151,臺北市,2013/10/10,大同,2.7,0.96,-,-,-,53,32.0,53.96,29.66,24.3,2.226,0.319,1.91,-,-,-,52.0
152,臺北市,2013/10/10,萬華,3.6,0.3,-,21.4,27,28,17.0,21.56,5.08,16.48,-,-,-,3.02,27.21,78.15,28.0
153,臺北市,2013/10/10,陽明,1.5,0.1,390.9,33.2,37,8,8.0,4.21,3.0,1.22,-,-,-,-,20.82,99.42,32.0
154,臺北市,2013/10/10,士林,2.1,0.36,-,18.8,26,35,20.0,24.68,10.5,14.19,-,-,-,1.85,27.05,75.29,35.0
155,臺北市,2013/10/09,松山,2.6,0.39,412.34,18.9,22,26,17.0,24.26,4.55,19.69,1.923,0.14,1.78,1.79,25.09,85.36,31.0
156,臺北市,2013/10/09,古亭,2.5,0.42,-,18.4,20,31,15.0,25.67,6.72,18.95,1.981,0.133,1.85,2.43,25.48,90.06,31.0
157,臺北市,2013/10/09,中山,1.3,0.54,-,15.5,19,44,23.0,31.54,10.45,21.09,2.017,0.187,1.83,2.09,26.21,83.44,44.0
158,臺北市,2013/10/09,大同,3.7,2.16,-,-,-,51,31.0,92.24,61.65,30.59,2.689,0.755,1.93,-,-,-,50.0
159,臺北市,2013/10/09,萬華,2.0,0.42,-,16.1,19,23,14.0,29.35,7.74,21.61,-,-,-,2.5,26.1,83.62,29.0
160,臺北市,2013/10/09,陽明,1.7,0.08,400.61,35.0,42,5,4.0,4.32,2.66,1.66,-,-,-,-,20.38,100.0,36.0
161,臺北市,2013/10/09,士林,2.5,0.48,-,15.3,20,37,22.0,28.04,7.96,20.07,-,-,-,1.27,26.13,80.83,37.0
162,臺北市,2013/10/08,松山,5.7,0.58,430.35,32.7,72,53,37.0,28.54,4.77,23.76,2.101,0.22,1.88,1.66,27.38,75.87,68.0
163,臺北市,2013/10/08,古亭,5.4,0.61,-,29.8,61,56,32.0,28.38,5.0,23.38,2.157,0.232,1.93,1.71,27.83,77.41,62.0
164,臺北市,2013/10/08,中山,5.0,0.88,-,21.9,47,75,47.0,41.72,12.41,29.31,2.279,0.327,1.95,1.79,28.34,75.4,62.0
165,臺北市,2013/10/08,大同,6.8,1.95,-,-,-,79,-,72.03,36.86,35.17,2.694,0.642,2.05,-,-,-,64.0
166,臺北市,2013/10/08,萬華,6.0,0.71,-,22.1,52,54,36.0,37.39,7.89,29.5,-,-,-,1.71,28.26,75.45,55.0
167,臺北市,2013/10/08,陽明,2.9,0.24,414.14,45.6,60,28,24.0,6.22,1.48,4.74,-,-,-,-,21.9,96.36,58.0
168,臺北市,2013/10/08,士林,4.3,0.53,-,29.2,63,61,39.0,22.9,3.33,19.56,-,-,-,1.74,28.17,75.13,60.0
169,臺北市,2013/10/07,松山,2.6,0.75,430.32,10.6,21,36,21.0,43.81,20.64,23.17,2.28,0.316,1.96,1.3,26.5,79.72,36.0
170,臺北市,2013/10/07,古亭,3.0,0.86,-,9.9,22,40,21.0,43.39,18.24,25.15,2.386,0.354,2.03,1.7,26.98,81.54,40.0
171,臺北市,2013/10/07,中山,3.1,1.14,-,7.1,17,49,30.0,61.42,34.14,27.27,2.524,0.431,2.09,1.57,27.44,79.7,49.0
172,臺北市,2013/10/07,大同,4.1,2.13,-,-,-,60,-,103.0,72.83,30.17,3.009,0.781,2.23,-,-,-,55.0
173,臺北市,2013/10/07,萬華,2.6,1.02,-,7.6,17,37,21.0,58.8,29.56,29.23,-,-,-,1.56,27.52,78.01,37.0
174,臺北市,2013/10/07,陽明,1.5,0.14,403.38,31.4,34,17,12.0,3.81,1.66,2.17,-,-,-,-,21.51,97.95,31.0
175,臺北市,2013/10/07,士林,1.8,0.51,-,15.3,29,36,17.0,32.38,13.96,18.41,-,-,-,1.54,27.24,77.19,38.0
