序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
29,臺北市,2008/08/27,陽明,2.8,0.17,388.35,32.4,35,25,20.0,6.54,1.31,5.22,-,-,-,-,22.58,-,78.69,34.0,-
30,臺北市,2008/08/27,士林,4.7,0.38,-,23.3,42,40,21.0,21.92,4.35,17.56,-,-,-,-,29.22,-,70.9,50.0,-
31,臺北市,2008/08/26,松山,8.1,0.6,407.25,21.1,47,47,33.0,33.46,8.52,24.94,2.138,0.279,1.86,-,-,-,-,64.0,-
32,臺北市,2008/08/26,古亭,4.3,0.6,-,13.8,25,49,25.0,29.49,10.32,19.16,2.08,0.247,1.83,-,-,-,-,49.0,-
33,臺北市,2008/08/26,中山,5.7,0.74,-,15.9,39,54,36.0,45.1,18.63,26.47,2.294,0.343,1.95,-,29.88,-,63.5,58.0,-
34,臺北市,2008/08/26,萬華,4.3,0.54,-,24.0,51,41,27.0,24.9,5.22,19.68,-,-,-,-,30.55,-,64.02,63.0,-
35,臺北市,2008/08/26,陽明,3.5,0.19,390.78,26.4,41,20,15.0,9.49,1.88,7.61,-,-,-,-,23.05,-,70.57,50.0,-
36,臺北市,2008/08/26,士林,6.1,0.43,-,21.9,46,49,23.0,27.08,6.82,20.27,-,-,-,-,30.16,-,63.35,49.0,-
37,臺北市,2008/08/25,松山,6.6,0.77,413.5,24.6,56,57,40.0,38.88,10.97,27.92,2.296,0.351,1.95,-,-,-,-,57.0,-
38,臺北市,2008/08/25,古亭,4.8,0.67,-,30.1,62,55,33.0,31.81,7.53,24.28,2.108,0.268,1.84,-,-,-,-,59.0,-
39,臺北市,2008/08/25,中山,7.0,0.91,-,25.6,56,61,43.0,48.91,13.27,35.64,2.402,0.427,1.98,-,29.87,-,69.17,56.0,-
40,臺北市,2008/08/25,萬華,5.2,0.67,-,32.9,67,52,37.0,25.71,3.2,22.51,-,-,-,-,30.38,-,69.67,63.0,-
41,臺北市,2008/08/25,陽明,3.5,0.23,389.28,34.3,45,32,25.0,9.79,1.84,7.95,-,-,-,-,23.6,-,77.51,46.0,-
42,臺北市,2008/08/25,士林,4.8,0.59,-,28.5,59,57,28.0,30.23,7.94,22.29,-,-,-,-,30.14,-,68.79,57.0,-
43,臺北市,2008/08/24,松山,4.1,0.75,411.03,19.1,49,47,33.0,36.2,12.14,24.05,2.313,0.346,1.97,-,-,-,-,61.0,-
44,臺北市,2008/08/24,古亭,2.9,0.64,-,23.6,54,46,27.0,28.87,9.74,19.13,2.11,0.251,1.86,-,-,-,-,61.0,-
45,臺北市,2008/08/24,中山,4.5,0.87,-,19.0,42,51,34.0,48.82,18.37,30.44,2.417,0.377,2.04,-,28.44,-,77.71,50.0,-
46,臺北市,2008/08/24,萬華,2.5,0.73,-,23.5,51,43,29.0,28.75,6.12,22.63,-,-,-,-,28.69,-,80.12,57.0,-
47,臺北市,2008/08/24,陽明,2.3,0.19,388.81,31.1,43,28,20.0,6.88,1.74,5.14,-,-,-,-,22.97,-,80.69,47.0,-
48,臺北市,2008/08/24,士林,2.4,0.53,-,23.3,47,48,24.0,25.97,6.29,19.68,-,-,-,-,28.75,-,77.79,49.0,-
49,臺北市,2008/08/23,松山,4.0,0.64,403.9,14.6,35,40,26.0,35.17,10.66,24.51,2.187,0.286,1.9,-,-,-,-,40.0,-
50,臺北市,2008/08/23,古亭,2.9,0.66,-,20.6,42,50,28.0,33.71,9.14,24.56,2.222,0.359,1.86,-,-,-,-,50.0,-
51,臺北市,2008/08/23,中山,3.9,0.76,-,16.9,36,46,30.0,50.93,17.87,33.06,2.253,0.305,1.95,-,28.44,-,77.52,46.0,-
52,臺北市,2008/08/23,萬華,2.5,0.68,-,23.8,47,44,26.0,29.74,5.53,24.21,-,-,-,-,28.79,-,79.48,52.0,-
53,臺北市,2008/08/23,陽明,2.6,0.18,388.17,33.0,48,25,15.0,6.07,1.13,4.94,-,-,-,-,22.96,-,79.91,51.0,-
54,臺北市,2008/08/23,士林,2.9,0.5,-,24.7,54,45,18.0,-,-,-,-,-,-,-,28.69,-,76.71,60.0,-
55,臺北市,2008/08/22,松山,8.2,0.49,395.82,17.7,37,43,26.0,27.49,6.22,21.28,2.081,0.251,1.83,-,-,-,-,43.0,-
56,臺北市,2008/08/22,古亭,9.5,0.6,-,22.7,47,62,35.0,30.47,6.79,23.68,2.926,1.055,1.87,-,-,-,-,69.0,-
57,臺北市,2008/08/22,中山,11.9,0.76,-,17.5,38,54,30.0,51.05,18.83,32.23,2.244,0.317,1.93,-,30.26,-,65.91,52.0,-
58,臺北市,2008/08/22,萬華,5.9,0.57,-,26.2,54,47,27.0,26.3,4.41,21.88,-,-,-,-,30.63,-,68.02,60.0,-
59,臺北市,2008/08/22,陽明,3.5,0.17,388.7,32.1,52,32,14.0,8.38,1.97,6.41,-,-,-,-,23.51,-,77.6,51.0,-
60,臺北市,2008/08/22,士林,5.4,0.34,-,29.8,56,46,19.0,21.3,3.19,18.11,-,-,-,-,30.23,-,67.41,60.0,-
61,臺北市,2008/08/21,松山,4.7,0.57,390.2,23.1,51,44,25.0,26.08,6.73,19.36,2.107,0.281,1.83,-,-,-,-,61.0,-
62,臺北市,2008/08/21,古亭,2.9,0.59,-,25.5,51,50,22.0,26.93,7.91,19.02,2.048,0.243,1.81,-,-,-,-,58.0,-
63,臺北市,2008/08/21,中山,5.8,0.8,-,20.9,46,52,31.0,45.83,17.09,28.74,2.279,0.349,1.93,-,31.41,-,59.84,72.0,-
64,臺北市,2008/08/21,萬華,3.8,0.53,-,24.3,54,42,26.0,21.26,4.24,17.02,-,-,-,-,31.83,-,59.4,61.0,-
65,臺北市,2008/08/21,陽明,2.7,0.16,389.01,34.9,52,31,14.0,6.17,1.61,4.56,-,-,-,-,24.16,-,74.17,56.0,-
66,臺北市,2008/08/21,士林,4.4,0.33,-,30.7,59,49,20.0,18.89,2.89,16.0,-,-,-,-,31.49,-,61.16,86.0,-
67,臺北市,2008/08/20,松山,2.9,0.29,390.48,11.4,14,26,11.0,20.35,11.79,8.55,2.003,0.17,1.83,-,-,-,-,26.0,-
68,臺北市,2008/08/20,古亭,2.3,0.35,-,13.0,19,135,17.0,19.07,9.08,9.99,2.256,0.448,1.81,-,-,-,-,25.0,-
69,臺北市,2008/08/20,中山,2.4,0.42,-,11.0,17,29,20.0,29.23,14.74,14.49,2.065,0.135,1.93,-,30.58,-,61.69,29.0,-
70,臺北市,2008/08/20,萬華,1.9,0.45,-,13.7,19,29,15.0,17.56,6.86,10.7,-,-,-,-,30.98,-,63.97,29.0,-
71,臺北市,2008/08/20,陽明,1.8,0.06,381.78,16.7,19,10,4.0,4.21,1.38,2.83,-,-,-,-,24.01,-,72.7,17.0,-
72,臺北市,2008/08/20,士林,0.9,0.22,-,15.5,22,30,7.0,13.53,4.37,9.16,-,-,-,-,30.72,-,61.01,30.0,-
73,臺北市,2008/08/19,松山,3.7,0.65,409.04,16.8,50,41,31.0,27.65,8.4,19.25,2.253,0.307,1.95,-,-,-,-,55.0,-
74,臺北市,2008/08/19,古亭,5.8,0.62,-,32.8,78,61,32.0,30.98,9.13,21.85,2.107,0.266,1.84,-,-,-,-,122.0,-
75,臺北市,2008/08/19,中山,3.8,0.73,-,29.3,70,48,35.0,37.31,11.86,25.45,2.233,0.26,1.97,-,30.5,-,66.96,84.0,-
76,臺北市,2008/08/19,萬華,4.8,0.57,-,35.8,80,41,29.0,20.84,3.43,17.41,-,-,-,-,30.94,-,68.3,109.0,-
77,臺北市,2008/08/19,陽明,2.9,0.17,388.55,37.1,55,28,19.0,6.98,1.61,5.37,-,-,-,-,24.05,-,77.57,50.0,-
78,臺北市,2008/08/19,士林,4.1,0.42,-,29.3,62,42,21.0,21.74,5.54,16.21,-,-,-,-,30.68,-,68.47,69.0,-
79,臺北市,2008/08/18,松山,5.5,0.81,414.35,29.1,75,47,32.0,32.96,9.45,23.51,2.322,0.371,1.95,-,-,-,-,90.0,-
80,臺北市,2008/08/18,古亭,3.3,0.74,-,28.5,69,47,28.0,31.19,11.5,19.69,2.18,0.311,1.87,-,-,-,-,78.0,-
81,臺北市,2008/08/18,中山,3.8,1.01,-,11.9,22,46,33.0,44.12,19.06,25.07,2.5,0.387,2.11,-,29.21,-,74.92,46.0,-
82,臺北市,2008/08/18,萬華,2.9,0.62,-,28.2,64,42,25.0,23.24,4.92,18.32,-,-,-,-,29.45,-,77.78,71.0,-
83,臺北市,2008/08/18,陽明,2.9,0.18,389.55,34.8,55,24,19.0,7.29,2.31,4.98,-,-,-,-,23.26,-,79.58,66.0,-
84,臺北市,2008/08/18,士林,3.0,0.51,-,22.3,47,44,20.0,24.4,6.25,18.15,-,-,-,-,29.4,-,76.79,56.0,-
85,臺北市,2008/08/17,松山,3.4,0.62,408.84,24.1,45,47,33.0,24.87,4.83,20.03,2.178,0.26,1.92,-,-,-,-,50.0,-
86,臺北市,2008/08/17,古亭,2.5,0.64,-,23.2,47,49,29.0,28.61,7.36,21.25,2.111,0.214,1.9,-,-,-,-,52.0,-
87,臺北市,2008/08/17,中山,2.8,0.66,-,19.4,37,45,36.0,33.92,7.41,26.51,2.204,0.193,2.01,-,28.09,-,80.88,45.0,-
88,臺北市,2008/08/17,萬華,2.1,0.58,-,26.4,46,43,32.0,21.5,3.19,18.31,-,-,-,-,28.37,-,82.89,50.0,-
89,臺北市,2008/08/17,陽明,2.9,0.2,392.16,29.6,39,27,20.0,8.74,2.44,6.3,-,-,-,-,23.02,-,81.12,52.0,-
90,臺北市,2008/08/17,士林,3.3,0.51,-,26.2,45,46,24.0,25.28,4.21,21.07,-,-,-,-,28.66,-,79.36,52.0,-
91,臺北市,2008/08/16,松山,4.4,0.81,413.12,22.1,47,52,36.0,36.01,7.97,28.04,2.361,0.389,1.97,-,-,-,-,55.0,-
92,臺北市,2008/08/16,古亭,3.1,0.78,-,23.1,52,61,32.0,37.21,11.8,25.41,2.209,0.298,1.91,-,-,-,-,59.0,-
93,臺北市,2008/08/16,中山,3.4,0.93,-,17.9,39,56,40.0,51.54,15.41,36.13,2.411,0.349,2.06,-,28.77,-,73.8,53.0,-
94,臺北市,2008/08/16,萬華,3.0,0.73,-,26.6,55,47,33.0,27.19,5.54,21.66,-,-,-,-,29.17,-,75.22,56.0,-
95,臺北市,2008/08/16,陽明,3.2,0.19,389.56,36.0,42,30,22.0,8.42,1.84,6.58,-,-,-,-,22.98,-,80.63,52.0,-
96,臺北市,2008/08/16,士林,4.2,0.68,-,25.8,51,57,26.0,31.63,5.22,26.41,-,-,-,-,29.26,-,75.32,59.0,-
97,臺北市,2008/08/15,松山,5.3,1.06,418.77,36.9,79,83,66.0,44.09,10.76,33.33,2.495,0.46,2.04,-,-,-,-,118.0,-
98,臺北市,2008/08/15,古亭,4.4,0.87,-,35.8,81,66,39.0,36.71,8.41,28.29,2.278,0.325,1.95,-,-,-,-,117.0,-
99,臺北市,2008/08/15,中山,5.2,1.17,-,30.1,69,82,58.0,60.12,20.83,39.29,2.539,0.422,2.12,-,29.01,-,72.3,95.0,-
100,臺北市,2008/08/15,萬華,3.7,0.91,-,38.2,80,59,47.0,29.51,4.75,24.76,-,-,-,-,29.11,-,75.25,101.0,-
101,臺北市,2008/08/15,陽明,3.5,0.26,388.24,57.7,79,-,30.0,7.6,1.37,6.23,-,-,-,-,24.21,-,75.41,80.0,-
102,臺北市,2008/08/15,士林,6.3,0.86,-,39.8,91,75,45.0,37.76,6.88,30.88,-,-,-,-,29.45,-,74.51,116.0,-
103,臺北市,2008/08/14,松山,6.9,0.74,409.06,36.4,73,63,47.0,31.53,4.24,27.27,2.258,0.333,1.93,-,-,-,-,87.0,-
104,臺北市,2008/08/14,古亭,6.5,0.79,-,36.4,76,65,41.0,32.56,5.82,26.75,2.237,0.307,1.93,-,-,-,-,94.0,-
105,臺北市,2008/08/14,中山,4.7,0.8,-,28.6,55,71,50.0,46.44,12.39,34.05,2.299,0.276,2.02,-,30.72,-,67.75,62.0,-
106,臺北市,2008/08/14,萬華,7.4,0.7,-,35.8,68,63,46.0,29.6,3.64,25.96,-,-,-,-,31.33,-,68.87,86.0,-
107,臺北市,2008/08/14,陽明,4.0,0.28,389.51,40.9,55,29,27.0,8.49,1.64,6.84,-,-,-,-,24.52,-,74.53,58.0,-
108,臺北市,2008/08/14,士林,6.2,0.47,-,39.5,69,64,33.0,22.75,2.06,20.67,-,-,-,-,30.83,-,68.93,69.0,-
109,臺北市,2008/08/13,松山,9.0,0.74,406.17,23.5,50,52,33.0,36.93,7.95,28.98,2.238,0.355,1.88,-,-,-,-,58.0,-
110,臺北市,2008/08/13,古亭,6.0,0.76,-,25.8,60,56,30.0,36.18,10.01,26.17,2.253,0.351,1.9,-,-,-,-,67.0,-
111,臺北市,2008/08/13,中山,7.9,0.88,-,19.3,38,56,38.0,46.59,15.1,31.49,2.308,0.305,2.0,-,30.7,-,65.31,53.0,-
112,臺北市,2008/08/13,萬華,7.3,0.63,-,29.8,59,47,32.0,29.75,5.81,23.94,-,-,-,-,31.24,-,66.06,65.0,-
113,臺北市,2008/08/13,陽明,2.9,0.19,384.03,30.5,43,21,16.0,6.64,1.4,5.25,-,-,-,-,24.0,-,71.42,42.0,-
114,臺北市,2008/08/13,士林,7.3,0.45,-,27.0,50,50,24.0,27.01,4.48,22.53,-,-,-,-,30.89,-,65.72,54.0,-
115,臺北市,2008/08/12,松山,5.4,0.59,401.56,19.8,48,39,22.0,30.31,9.43,20.88,2.173,0.328,1.85,-,-,-,-,50.0,-
116,臺北市,2008/08/12,古亭,3.8,0.64,-,20.5,45,66,25.0,31.62,11.61,20.01,2.143,0.27,1.87,-,-,-,-,58.0,-
117,臺北市,2008/08/12,中山,6.0,0.92,-,16.8,36,46,31.0,48.64,21.25,27.4,2.351,0.35,2.0,-,30.26,-,63.89,46.0,-
118,臺北市,2008/08/12,萬華,4.3,0.54,-,22.0,45,34,20.0,24.28,6.57,17.71,-,-,-,-,30.48,-,67.02,42.0,-
119,臺北市,2008/08/12,陽明,2.4,0.15,382.95,29.9,36,15,11.0,5.19,1.26,3.93,-,-,-,-,23.53,-,72.47,33.0,-
120,臺北市,2008/08/12,士林,6.1,0.35,-,24.6,45,36,15.0,21.32,3.96,17.36,-,-,-,-,30.84,-,61.79,41.0,-
121,臺北市,2008/08/11,松山,4.8,0.67,404.61,21.9,43,43,34.0,31.85,6.96,24.9,2.186,0.294,1.89,-,-,-,-,47.0,-
122,臺北市,2008/08/11,古亭,3.5,0.78,-,24.0,48,50,30.0,35.37,9.08,26.3,2.188,0.291,1.9,-,-,-,-,66.0,-
123,臺北市,2008/08/11,中山,4.8,0.88,-,23.3,45,47,33.0,43.67,13.85,29.82,2.279,0.306,1.97,-,28.22,-,73.64,64.0,-
124,臺北市,2008/08/11,萬華,4.0,0.6,-,28.6,52,37,27.0,24.18,2.68,21.49,-,-,-,-,28.32,-,76.67,68.0,-
125,臺北市,2008/08/11,陽明,3.3,0.23,392.76,42.3,55,26,23.0,6.97,1.1,5.88,-,-,-,-,22.22,-,80.4,56.0,-
126,臺北市,2008/08/11,士林,4.5,0.4,-,37.3,70,46,19.0,18.65,2.38,16.25,-,-,-,-,29.22,-,71.58,76.0,-
127,臺北市,2008/08/10,松山,5.8,0.57,402.44,24.5,58,45,34.0,29.24,7.85,21.39,2.116,0.241,1.87,-,-,-,-,70.0,-
128,臺北市,2008/08/10,古亭,3.5,0.52,-,27.5,58,50,30.0,24.73,7.66,17.07,2.024,0.157,1.87,-,-,-,-,72.0,-
129,臺北市,2008/08/10,中山,4.7,0.56,-,24.3,50,49,37.0,30.26,6.13,24.13,2.169,0.181,1.99,-,28.25,-,70.67,57.0,-
130,臺北市,2008/08/10,萬華,4.1,0.62,-,26.7,57,44,33.0,24.04,4.44,19.6,-,-,-,-,28.66,-,73.07,65.0,-
131,臺北市,2008/08/10,陽明,2.5,0.18,383.38,36.8,45,28,25.0,6.43,1.88,4.55,-,-,-,-,21.83,-,79.61,50.0,-
132,臺北市,2008/08/10,士林,5.7,0.47,-,29.5,58,53,28.0,22.74,4.66,18.08,-,-,-,-,29.04,-,69.87,59.0,-
133,臺北市,2008/08/09,松山,3.8,0.56,393.44,21.2,44,56,37.0,26.68,4.9,21.78,2.15,0.245,1.91,-,-,-,-,60.0,-
134,臺北市,2008/08/09,古亭,3.4,0.58,-,26.0,49,53,36.0,27.37,7.42,19.94,2.094,0.188,1.91,-,-,-,-,56.0,-
135,臺北市,2008/08/09,中山,4.8,0.65,-,22.7,42,57,41.0,36.0,9.94,26.06,2.19,0.206,1.98,-,28.51,-,70.72,54.0,-
136,臺北市,2008/08/09,萬華,3.3,0.57,-,28.1,53,53,39.0,23.37,3.28,20.08,-,-,-,-,28.99,-,71.04,54.0,-
137,臺北市,2008/08/09,陽明,2.1,0.19,380.43,36.4,43,29,25.0,5.76,2.4,3.36,-,-,-,-,22.04,-,77.62,43.0,-
138,臺北市,2008/08/09,士林,3.9,0.36,-,34.4,56,49,28.0,15.36,1.77,13.59,-,-,-,-,28.95,-,68.32,56.0,-
139,臺北市,2008/08/08,松山,6.4,0.43,386.06,13.1,21,39,31.0,21.59,7.44,14.15,1.985,0.174,1.81,-,-,-,-,39.0,-
140,臺北市,2008/08/08,古亭,4.1,0.47,-,17.2,25,45,27.0,26.91,10.83,16.08,1.986,0.152,1.83,-,-,-,-,45.0,-
141,臺北市,2008/08/08,中山,7.0,0.55,-,14.4,21,45,35.0,33.62,13.19,20.43,2.006,0.144,1.86,-,29.26,-,68.38,45.0,-
142,臺北市,2008/08/08,萬華,3.6,0.47,-,16.7,26,38,29.0,22.61,6.08,16.53,-,-,-,-,29.93,-,65.78,38.0,-
143,臺北市,2008/08/08,陽明,2.0,0.12,378.83,27.6,36,20,18.0,3.4,2.1,1.28,-,-,-,-,22.67,-,72.64,33.0,-
144,臺北市,2008/08/08,士林,5.3,0.26,-,26.6,36,41,25.0,13.41,3.36,10.05,-,-,-,-,29.59,-,63.99,45.0,-
145,臺北市,2008/08/07,松山,8.0,0.4,390.78,8.9,14,27,20.0,22.58,9.27,13.32,1.953,0.19,1.76,-,-,-,-,27.0,-
146,臺北市,2008/08/07,古亭,4.9,0.38,-,13.0,20,35,19.0,23.24,10.66,12.58,1.91,0.128,1.78,-,-,-,-,35.0,-
147,臺北市,2008/08/07,中山,4.5,0.49,-,11.3,17,29,24.0,28.32,12.52,15.79,1.984,0.152,1.83,-,29.37,-,66.63,29.0,-
148,臺北市,2008/08/07,萬華,4.4,0.4,-,12.0,19,28,18.0,20.23,7.16,13.08,-,-,-,-,29.95,-,65.11,28.0,-
149,臺北市,2008/08/07,陽明,3.1,0.05,381.84,19.0,20,12,12.0,3.55,1.55,2.0,-,-,-,-,22.15,-,77.67,19.0,-
150,臺北市,2008/08/07,士林,2.9,0.23,-,19.9,25,18,21.0,11.65,3.01,8.64,-,-,-,-,29.6,-,66.02,26.0,-
151,臺北市,2008/08/06,松山,2.4,0.39,382.04,10.9,14,25,13.0,18.22,9.57,8.65,1.901,0.171,1.73,-,-,-,-,25.0,-
152,臺北市,2008/08/06,古亭,1.8,0.3,-,17.1,19,25,14.0,13.99,6.31,7.67,1.856,0.081,1.78,-,-,-,-,25.0,-
153,臺北市,2008/08/06,中山,1.7,0.46,-,11.8,15,21,18.0,25.45,12.46,12.99,1.938,0.144,1.79,-,30.34,-,61.23,21.0,-
154,臺北市,2008/08/06,萬華,1.2,0.43,-,15.0,18,17,13.0,16.24,5.63,10.6,-,-,-,-,31.31,-,60.04,17.0,-
155,臺北市,2008/08/06,陽明,2.4,0.08,379.67,20.3,22,7,6.0,2.54,1.5,1.0,-,-,-,-,22.64,-,77.57,20.0,-
156,臺北市,2008/08/06,士林,1.3,0.18,-,22.4,25,15,16.0,7.47,2.17,5.31,-,-,-,-,30.51,-,61.19,22.0,-
157,臺北市,2008/08/05,松山,2.5,0.35,380.46,10.3,14,27,13.0,16.73,8.34,8.39,1.88,0.154,1.73,-,-,-,-,27.0,-
158,臺北市,2008/08/05,古亭,1.6,0.25,-,16.7,19,24,12.0,10.85,5.04,5.81,1.83,0.061,1.77,-,-,-,-,24.0,-
159,臺北市,2008/08/05,中山,2.0,0.44,-,10.7,14,21,16.0,22.18,10.05,12.13,1.932,0.135,1.8,-,30.32,-,64.19,21.0,-
160,臺北市,2008/08/05,萬華,1.1,0.38,-,15.3,18,15,11.0,13.4,5.27,8.13,-,-,-,-,31.14,-,63.31,16.0,-
161,臺北市,2008/08/05,陽明,1.7,0.06,379.02,19.0,21,5,5.0,1.86,0.69,1.15,-,-,-,-,22.98,-,78.79,18.0,-
162,臺北市,2008/08/05,士林,1.5,0.18,-,21.2,23,20,12.0,8.25,2.95,5.3,-,-,-,-,30.45,-,64.72,22.0,-
163,臺北市,2008/08/04,松山,2.1,0.31,381.08,5.6,7,18,10.0,14.33,9.81,4.53,1.848,0.147,1.7,-,-,-,-,18.0,-
164,臺北市,2008/08/04,古亭,2.1,0.21,-,9.5,11,33,12.0,14.89,8.78,6.11,1.809,0.06,1.75,-,-,-,-,33.0,-
165,臺北市,2008/08/04,中山,2.0,0.35,-,7.5,9,21,15.0,18.67,11.22,7.45,1.875,0.102,1.77,-,30.17,-,63.47,21.0,-
166,臺北市,2008/08/04,萬華,1.2,0.34,-,8.4,10,15,11.0,12.08,6.88,5.2,-,-,-,-,30.83,-,63.54,15.0,-
167,臺北市,2008/08/04,陽明,1.9,0.05,381.25,10.7,11,6,3.0,3.32,1.81,1.52,-,-,-,-,23.1,-,75.95,10.0,-
168,臺北市,2008/08/04,士林,2.2,0.13,-,13.3,15,22,4.0,7.16,3.38,3.78,-,-,-,-,30.43,-,63.19,22.0,-
169,臺北市,2008/08/03,松山,3.8,0.43,398.51,19.9,51,34,25.0,24.18,9.12,15.06,1.992,0.202,1.79,-,-,-,-,71.0,-
170,臺北市,2008/08/03,古亭,3.4,0.4,-,24.8,57,39,26.0,19.07,6.39,12.67,1.932,0.131,1.8,-,-,-,-,77.0,-
