序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
23,臺北市,2008/04/27,陽明,1.7,0.23,381.34,61.7,66,38,23.0,4.21,1.07,3.14,-,-,-,-,17.54,-,78.21,66.0,-
24,臺北市,2008/04/27,士林,1.9,0.33,-,54.1,62,65,24.0,13.13,0.73,12.42,-,-,-,-,25.0,-,56.24,63.0,-
25,臺北市,2008/04/26,松山,6.5,0.66,402.83,34.5,64,71,44.0,41.61,6.06,35.55,2.375,0.281,2.1,-,23.5,-,46.81,60.0,-
26,臺北市,2008/04/26,古亭,4.9,0.59,-,41.2,62,67,42.0,33.23,6.28,26.95,2.109,0.186,1.92,-,23.87,-,48.08,59.0,-
27,臺北市,2008/04/26,中山,6.2,0.75,-,34.3,56,73,44.0,47.19,8.29,38.9,2.328,0.285,2.04,-,23.46,-,47.78,62.0,-
28,臺北市,2008/04/26,萬華,5.0,0.59,-,47.0,71,60,40.0,27.06,2.8,24.25,-,-,-,-,23.93,-,49.54,65.0,-
29,臺北市,2008/04/26,陽明,5.7,0.25,387.38,68.8,81,45,-,6.07,1.15,4.92,-,-,-,-,16.63,-,56.55,72.0,-
30,臺北市,2008/04/26,士林,4.8,0.48,-,51.7,78,70,37.0,22.4,2.35,20.05,-,-,-,-,23.59,-,47.39,72.0,-
31,臺北市,2008/04/25,松山,8.6,0.64,400.05,25.1,44,61,40.0,48.6,8.63,39.96,2.277,0.283,1.99,-,20.08,-,55.71,56.0,-
32,臺北市,2008/04/25,古亭,4.0,0.63,-,38.2,50,63,37.0,37.78,8.66,29.13,2.093,0.197,1.9,-,21.04,-,54.29,56.0,-
33,臺北市,2008/04/25,中山,7.1,0.82,-,27.2,39,65,35.0,54.28,13.43,40.86,2.298,0.304,2.0,-,20.28,-,54.02,58.0,-
34,臺北市,2008/04/25,萬華,5.7,0.65,-,40.4,51,58,37.0,33.31,4.49,28.82,-,-,-,-,21.16,-,53.88,54.0,-
35,臺北市,2008/04/25,陽明,4.2,0.26,386.22,63.1,64,39,-,5.69,1.15,4.54,-,-,-,-,14.04,-,67.77,57.0,-
36,臺北市,2008/04/25,士林,5.4,0.41,-,51.3,62,60,-,20.04,1.77,18.3,-,-,-,-,20.7,-,50.58,57.0,-
37,臺北市,2008/04/24,松山,6.7,0.59,392.97,48.3,57,105,64.0,28.33,2.96,25.37,2.136,0.172,1.96,-,18.8,-,57.39,78.0,-
38,臺北市,2008/04/24,古亭,6.1,0.63,-,47.5,58,106,70.0,28.85,5.12,23.73,2.05,0.146,1.9,-,18.6,-,63.44,78.0,-
39,臺北市,2008/04/24,中山,6.7,0.85,-,41.5,56,114,71.0,42.24,7.44,34.79,2.244,0.256,1.99,-,18.36,-,60.94,82.0,-
40,臺北市,2008/04/24,萬華,5.9,0.69,-,51.6,57,102,67.0,25.8,2.05,23.75,-,-,-,-,18.67,-,62.58,76.0,-
41,臺北市,2008/04/24,陽明,4.8,0.36,391.15,66.3,70,68,46.0,5.51,1.8,3.7,-,-,-,-,10.33,-,84.64,62.0,-
42,臺北市,2008/04/24,士林,5.6,0.47,-,63.4,69,112,-,13.75,0.6,13.13,-,-,-,-,18.62,-,58.95,81.0,-
43,臺北市,2008/04/23,松山,5.8,0.64,396.25,42.5,60,84,60.0,18.64,2.37,16.27,2.077,0.136,1.94,-,20.17,-,66.27,67.0,-
44,臺北市,2008/04/23,古亭,6.2,0.78,-,35.5,48,87,67.0,31.13,5.49,25.63,2.07,0.173,1.9,-,20.43,-,68.55,68.0,-
45,臺北市,2008/04/23,中山,6.7,0.9,-,35.6,49,96,68.0,37.25,7.7,29.54,2.211,0.233,1.98,-,21.56,-,62.11,73.0,-
46,臺北市,2008/04/23,萬華,6.4,0.75,-,41.2,56,82,66.0,23.58,2.53,21.05,-,-,-,-,20.48,-,67.93,66.0,-
47,臺北市,2008/04/23,陽明,4.5,0.46,400.87,53.5,72,44,31.0,5.43,1.18,4.23,-,-,-,-,12.09,-,89.33,64.0,-
48,臺北市,2008/04/23,士林,5.7,0.55,-,50.5,71,91,-,12.93,1.29,11.63,-,-,-,-,20.48,-,64.46,70.0,-
49,臺北市,2008/04/22,松山,3.0,0.55,390.65,26.9,35,33,20.0,31.57,6.15,25.41,2.141,0.207,1.94,-,22.29,-,79.35,36.0,-
50,臺北市,2008/04/22,古亭,2.0,0.59,-,33.0,39,35,23.0,28.79,6.91,21.89,2.069,0.192,1.88,-,22.64,-,80.06,38.0,-
51,臺北市,2008/04/22,中山,2.4,0.76,-,28.4,35,53,24.0,37.93,7.89,30.03,2.262,0.286,1.98,-,26.2,-,65.94,52.0,-
52,臺北市,2008/04/22,萬華,1.4,0.64,-,36.1,49,30,23.0,23.77,3.8,19.95,-,-,-,-,22.82,-,80.09,43.0,-
53,臺北市,2008/04/22,陽明,1.8,0.24,392.49,46.2,54,13,10.0,3.5,1.14,2.36,-,-,-,-,16.43,-,87.81,59.0,-
54,臺北市,2008/04/22,士林,1.9,0.57,-,30.4,41,44,-,29.2,4.52,24.69,-,-,-,-,22.61,-,78.85,44.0,-
55,臺北市,2008/04/21,松山,3.6,0.78,405.56,9.6,13,24,16.0,49.43,18.57,30.86,2.578,0.383,2.19,-,24.43,-,85.42,27.0,-
56,臺北市,2008/04/21,古亭,2.5,0.98,-,8.0,11,30,20.0,51.91,19.65,32.26,2.424,0.393,2.03,-,24.23,-,88.95,30.0,-
57,臺北市,2008/04/21,中山,2.9,1.05,-,10.9,13,33,21.0,61.39,27.66,33.72,2.565,0.438,2.13,-,26.79,-,77.38,33.0,-
58,臺北市,2008/04/21,萬華,2.1,0.93,-,10.0,13,27,19.0,40.41,11.52,28.9,-,-,-,-,24.36,-,89.68,27.0,-
59,臺北市,2008/04/21,陽明,1.7,0.2,394.16,34.0,38,11,9.0,3.43,0.87,2.56,-,-,-,-,18.82,-,89.95,37.0,-
60,臺北市,2008/04/21,士林,1.6,0.52,-,16.7,23,32,-,26.11,6.94,19.18,-,-,-,-,24.89,-,83.8,32.0,-
61,臺北市,2008/04/20,松山,1.9,0.35,384.03,31.6,37,16,12.0,15.93,3.12,12.81,1.988,0.095,1.89,-,25.33,-,72.83,33.0,-
62,臺北市,2008/04/20,古亭,1.4,0.4,-,31.8,39,20,11.0,18.61,3.36,15.25,1.917,0.089,1.83,-,25.86,-,73.44,35.0,-
63,臺北市,2008/04/20,中山,2.3,0.54,-,28.7,40,27,11.0,28.36,7.53,20.83,2.086,0.174,1.91,-,28.8,-,61.43,36.0,-
64,臺北市,2008/04/20,萬華,1.4,0.53,-,31.5,38,20,14.0,18.5,2.97,15.52,-,-,-,-,25.95,-,74.07,35.0,-
65,臺北市,2008/04/20,陽明,1.2,0.19,389.38,40.1,44,6,5.0,2.69,0.66,2.0,-,-,-,-,18.87,-,88.34,38.0,-
66,臺北市,2008/04/20,士林,1.6,0.29,-,37.8,48,24,8.0,10.93,1.3,9.62,-,-,-,-,26.95,-,67.05,42.0,-
67,臺北市,2008/04/19,松山,2.1,0.39,387.18,39.0,46,31,18.0,20.02,3.88,16.14,2.033,0.111,1.92,-,24.36,-,73.01,41.0,-
68,臺北市,2008/04/19,古亭,1.9,0.51,-,38.0,46,33,21.0,23.42,4.36,19.06,1.947,0.117,1.83,-,25.02,-,72.84,42.0,-
69,臺北市,2008/04/19,中山,2.4,0.55,-,38.0,46,82,23.0,26.02,6.05,19.96,2.062,0.158,1.9,-,27.77,-,61.34,66.0,-
70,臺北市,2008/04/19,萬華,1.8,0.49,-,40.6,47,32,21.0,17.57,2.03,15.52,-,-,-,-,24.87,-,74.34,42.0,-
71,臺北市,2008/04/19,陽明,2.2,0.23,393.05,46.9,52,10,8.0,4.19,1.27,2.91,-,-,-,-,17.36,-,90.41,48.0,-
72,臺北市,2008/04/19,士林,1.5,0.31,-,49.5,56,31,15.0,7.91,1.01,6.89,-,-,-,-,25.9,-,67.23,50.0,-
73,臺北市,2008/04/18,松山,3.9,0.55,392.88,45.2,51,59,34.0,28.2,3.26,24.94,2.086,0.157,1.93,-,22.5,-,66.32,54.0,-
74,臺北市,2008/04/18,古亭,2.5,0.57,-,51.5,59,59,40.0,24.24,3.7,20.54,1.96,0.115,1.85,-,22.89,-,67.58,54.0,-
75,臺北市,2008/04/18,中山,3.8,0.66,-,48.7,57,67,37.0,29.69,4.79,24.9,2.09,0.173,1.92,-,25.52,-,56.22,58.0,-
76,臺北市,2008/04/18,萬華,3.1,0.6,-,24.9,50,59,36.0,23.52,2.92,20.6,-,-,-,-,22.85,-,68.28,54.0,-
77,臺北市,2008/04/18,陽明,3.2,0.32,397.04,63.6,68,28,21.0,5.07,1.17,3.9,-,-,-,-,14.38,-,89.26,58.0,-
78,臺北市,2008/04/18,士林,5.1,0.39,-,63.1,68,63,35.0,12.19,1.46,10.73,-,-,-,-,23.79,-,61.31,60.0,-
79,臺北市,2008/04/17,松山,3.4,0.55,394.7,26.8,34,27,17.0,28.86,5.1,23.76,2.123,0.173,1.95,-,22.51,-,83.25,31.0,-
80,臺北市,2008/04/17,古亭,2.3,0.59,-,27.5,35,31,19.0,27.52,5.67,21.84,2.016,0.148,1.87,-,22.73,-,84.79,36.0,-
81,臺北市,2008/04/17,中山,2.1,0.73,-,24.7,34,56,18.0,36.18,9.0,27.18,2.205,0.225,1.98,-,25.33,-,72.49,53.0,-
82,臺北市,2008/04/17,萬華,4.1,0.66,-,3.5,8,26,17.0,26.88,4.28,22.59,-,-,-,-,22.87,-,85.08,26.0,-
83,臺北市,2008/04/17,陽明,1.4,0.29,396.53,45.0,55,6,3.0,3.13,1.12,2.01,-,-,-,-,16.35,-,91.08,47.0,-
84,臺北市,2008/04/17,士林,1.8,0.43,-,36.4,51,33,13.0,13.94,1.66,12.31,-,-,-,-,24.25,-,75.78,44.0,-
85,臺北市,2008/04/16,松山,9.1,0.89,423.16,26.7,56,67,43.0,54.81,14.51,40.3,2.663,0.427,2.24,-,26.19,-,72.22,84.0,-
86,臺北市,2008/04/16,古亭,4.6,0.79,-,31.6,72,61,42.0,39.04,8.76,30.28,2.252,0.311,1.94,-,26.33,-,73.46,105.0,-
87,臺北市,2008/04/16,中山,7.1,0.99,-,25.7,55,82,46.0,50.67,12.11,38.56,2.466,0.397,2.07,-,28.09,-,66.23,72.0,-
88,臺北市,2008/04/16,萬華,4.3,0.87,-,33.6,76,60,43.0,35.72,5.23,30.48,-,-,-,-,26.47,-,74.46,88.0,-
89,臺北市,2008/04/16,陽明,3.4,0.25,396.31,41.7,49,24,20.0,6.33,1.07,5.27,-,-,-,-,20.46,-,82.33,46.0,-
90,臺北市,2008/04/16,士林,4.2,0.62,-,26.4,57,56,36.0,30.91,4.74,26.17,-,-,-,-,28.3,-,66.47,64.0,-
91,臺北市,2008/04/15,松山,7.2,0.83,406.27,30.3,58,61,35.0,54.26,16.78,37.48,2.417,0.376,2.04,-,25.74,-,67.14,85.0,-
92,臺北市,2008/04/15,古亭,5.1,0.85,-,36.6,64,61,39.0,40.37,11.05,29.33,2.256,0.334,1.92,-,25.7,-,70.6,87.0,-
93,臺北市,2008/04/15,中山,7.9,1.08,-,32.1,55,68,40.0,62.76,22.15,40.59,2.456,0.429,2.03,-,25.28,-,68.86,84.0,-
94,臺北市,2008/04/15,萬華,5.0,0.8,-,40.4,70,56,39.0,32.95,5.05,27.89,-,-,-,-,25.77,-,71.04,83.0,-
95,臺北市,2008/04/15,陽明,2.4,0.2,392.23,40.0,44,16,13.0,3.77,1.44,2.34,-,-,-,-,19.46,-,79.2,55.0,-
96,臺北市,2008/04/15,士林,4.6,0.61,-,35.7,60,61,35.0,33.56,6.86,26.71,-,-,-,-,27.43,-,62.19,71.0,-
97,臺北市,2008/04/14,松山,3.9,0.46,389.33,37.9,43,59,29.0,31.13,5.65,25.48,2.061,0.144,1.92,-,20.95,-,74.38,54.0,-
98,臺北市,2008/04/14,古亭,3.3,0.53,-,38.8,47,60,35.0,29.55,5.41,24.14,1.98,0.139,1.84,-,21.32,-,76.18,55.0,-
99,臺北市,2008/04/14,中山,7.1,0.59,-,38.9,51,63,37.0,35.0,6.39,28.62,2.087,0.18,1.91,-,20.76,-,74.85,56.0,-
100,臺北市,2008/04/14,萬華,3.7,0.5,-,45.1,51,55,35.0,21.63,2.52,19.1,-,-,-,-,21.39,-,75.61,52.0,-
101,臺北市,2008/04/14,陽明,1.8,0.23,392.42,47.9,53,16,14.0,4.51,1.3,3.21,-,-,-,-,14.59,-,90.84,48.0,-
102,臺北市,2008/04/14,士林,4.6,0.33,-,49.1,54,56,31.0,14.42,1.61,12.82,-,-,-,-,22.67,-,67.97,53.0,-
103,臺北市,2008/04/13,松山,1.1,0.42,386.45,36.3,42,23,16.0,21.38,1.7,19.68,2.047,0.12,1.93,-,20.73,-,83.72,39.0,-
104,臺北市,2008/04/13,古亭,1.8,0.47,-,36.5,39,34,22.0,24.1,3.62,20.47,1.959,0.116,1.84,-,20.9,-,85.78,36.0,-
105,臺北市,2008/04/13,中山,2.7,0.55,-,32.9,40,59,22.0,28.51,3.24,25.27,2.123,0.165,1.96,-,20.38,-,85.13,54.0,-
106,臺北市,2008/04/13,萬華,3.9,0.53,-,34.7,42,32,24.0,23.31,2.1,21.21,-,-,-,-,20.94,-,85.97,39.0,-
107,臺北市,2008/04/13,陽明,1.0,0.25,392.85,42.3,51,6,6.0,3.99,1.19,2.8,-,-,-,-,15.54,-,91.2,44.0,-
108,臺北市,2008/04/13,士林,1.3,0.41,-,32.4,40,40,21.0,19.25,2.14,17.12,-,-,-,-,22.21,-,80.17,43.0,-
109,臺北市,2008/04/12,松山,2.3,1.0,418.05,11.7,21,42,27.0,59.87,19.72,40.15,2.646,0.452,2.19,-,22.08,-,84.43,42.0,-
110,臺北市,2008/04/12,古亭,2.8,0.88,-,15.1,20,46,32.0,48.12,13.77,34.35,2.332,0.352,1.98,-,22.08,-,86.46,46.0,-
111,臺北市,2008/04/12,中山,3.8,1.17,-,11.5,17,61,32.0,65.1,24.36,40.74,2.659,0.484,2.18,-,21.58,-,86.36,56.0,-
112,臺北市,2008/04/12,萬華,2.8,0.86,-,18.5,28,35,26.0,35.9,8.49,27.42,-,-,-,-,22.09,-,86.81,35.0,-
113,臺北市,2008/04/12,陽明,1.1,0.28,398.85,36.0,40,13,11.0,6.8,1.71,5.09,-,-,-,-,17.15,-,90.91,40.0,-
114,臺北市,2008/04/12,士林,2.0,0.71,-,17.1,33,44,29.0,37.62,8.04,29.58,-,-,-,-,22.09,-,85.66,44.0,-
115,臺北市,2008/04/11,松山,3.8,0.63,396.55,30.6,49,49,29.0,38.34,4.7,33.64,2.239,0.227,2.01,-,21.22,-,72.81,49.0,-
116,臺北市,2008/04/11,古亭,2.8,0.76,-,30.9,50,55,37.0,45.41,10.96,34.45,2.104,0.238,1.87,-,21.26,-,78.32,52.0,-
117,臺北市,2008/04/11,中山,4.8,0.85,-,30.2,52,58,37.0,49.2,12.06,37.14,2.266,0.3,1.97,-,20.97,-,76.18,54.0,-
118,臺北市,2008/04/11,萬華,4.1,0.76,-,37.5,55,51,35.0,32.0,4.85,27.15,-,-,-,-,21.48,-,77.21,52.0,-
119,臺北市,2008/04/11,陽明,3.1,0.24,397.29,43.3,47,25,20.0,6.27,0.68,5.58,-,-,-,-,15.75,-,91.13,42.0,-
120,臺北市,2008/04/11,士林,5.7,0.42,-,42.6,51,50,27.0,20.77,1.76,19.01,-,-,-,-,21.65,-,72.74,50.0,-
121,臺北市,2008/04/10,松山,3.1,0.54,393.95,29.3,45,45,27.0,26.24,4.33,21.9,2.136,0.195,1.94,-,22.11,-,66.97,45.0,-
122,臺北市,2008/04/10,古亭,3.1,0.56,-,29.3,44,50,30.0,29.1,7.43,21.68,2.026,0.165,1.86,-,21.68,-,71.96,50.0,-
123,臺北市,2008/04/10,中山,4.2,0.7,-,27.0,39,56,31.0,37.59,10.13,27.46,2.234,0.244,1.99,-,21.61,-,70.49,53.0,-
124,臺北市,2008/04/10,萬華,3.4,0.59,-,32.4,47,47,32.0,23.76,3.76,20.0,-,-,-,-,21.97,-,71.37,47.0,-
125,臺北市,2008/04/10,陽明,2.5,0.28,394.8,41.9,57,24,18.0,5.88,0.72,5.14,-,-,-,-,14.93,-,89.03,50.0,-
126,臺北市,2008/04/10,士林,4.0,0.38,-,36.5,56,-,23.0,14.93,1.55,13.38,-,-,-,-,22.09,-,69.61,50.0,-
127,臺北市,2008/04/09,松山,6.0,0.83,407.37,9.5,20,63,32.0,49.01,18.23,30.78,2.508,0.45,2.06,-,27.92,-,61.08,56.0,-
128,臺北市,2008/04/09,古亭,4.1,0.85,-,10.1,20,59,35.0,48.94,21.14,27.8,2.315,0.397,1.92,-,27.23,-,67.3,54.0,-
129,臺北市,2008/04/09,中山,6.8,1.2,-,9.2,17,66,36.0,63.37,31.08,32.29,2.668,0.554,2.11,-,27.33,-,63.98,58.0,-
130,臺北市,2008/04/09,萬華,4.8,0.79,-,12.4,25,50,33.0,33.71,10.5,23.22,-,-,-,-,27.59,-,66.27,50.0,-
131,臺北市,2008/04/09,陽明,2.8,0.19,389.59,22.3,32,18,11.0,8.13,0.93,7.17,-,-,-,-,21.1,-,72.23,38.0,-
132,臺北市,2008/04/09,士林,5.1,0.5,-,14.1,30,-,25.0,29.88,6.89,22.99,-,-,-,-,27.81,-,60.96,38.0,-
133,臺北市,2008/04/08,松山,7.2,0.9,420.87,31.0,76,74,53.0,48.48,10.0,38.48,2.594,0.408,2.19,-,26.34,-,74.02,144.0,-
134,臺北市,2008/04/08,古亭,6.0,0.96,-,31.7,92,90,60.0,-,-,-,2.394,0.405,1.99,-,26.64,-,74.76,128.0,-
135,臺北市,2008/04/08,中山,8.4,1.29,-,28.5,71,-,63.0,68.45,22.51,45.94,2.789,0.549,2.24,-,26.13,-,75.65,137.0,-
136,臺北市,2008/04/08,萬華,6.5,1.06,-,34.0,91,74,57.0,39.04,7.39,31.65,-,-,-,-,26.92,-,75.04,128.0,-
137,臺北市,2008/04/08,陽明,5.3,0.34,401.07,40.9,77,36,30.0,11.82,1.36,10.45,-,-,-,-,20.9,-,82.01,93.0,-
138,臺北市,2008/04/08,士林,12.7,0.9,-,31.2,78,-,56.0,54.02,12.32,41.7,-,-,-,-,26.26,-,76.07,139.0,-
139,臺北市,2008/04/07,松山,6.2,1.0,432.45,26.9,70,71,44.0,57.5,24.44,33.07,2.652,0.412,2.24,-,26.72,-,69.04,82.0,-
140,臺北市,2008/04/07,古亭,5.0,0.95,-,32.4,79,78,53.0,47.12,14.26,32.86,2.385,0.366,2.02,-,26.82,-,71.49,87.0,-
141,臺北市,2008/04/07,中山,5.3,1.33,-,26.1,63,-,50.0,66.57,26.03,40.54,2.782,0.514,2.27,-,27.98,-,65.64,79.0,-
142,臺北市,2008/04/07,萬華,4.4,1.01,-,33.3,79,69,48.0,36.78,7.29,29.49,-,-,-,-,26.93,-,72.18,92.0,-
143,臺北市,2008/04/07,陽明,4.0,0.34,397.45,46.5,83,35,27.0,8.51,1.25,7.26,-,-,-,-,20.84,-,80.1,80.0,-
144,臺北市,2008/04/07,士林,4.3,0.94,-,36.6,85,77,50.0,46.55,17.66,28.89,-,-,-,-,26.45,-,71.74,89.0,-
145,臺北市,2008/04/06,松山,3.5,1.16,440.86,21.5,52,74,48.0,57.43,29.41,28.01,2.902,0.498,2.4,-,25.61,-,72.74,62.0,-
146,臺北市,2008/04/06,古亭,4.0,0.94,-,23.4,56,74,53.0,43.26,17.49,25.78,2.38,0.319,2.06,-,25.57,-,76.04,64.0,-
147,臺北市,2008/04/06,中山,5.0,1.22,-,18.4,44,80,49.0,59.98,29.62,30.36,2.702,0.451,2.25,-,27.79,-,66.65,65.0,-
148,臺北市,2008/04/06,萬華,4.2,1.02,-,24.7,57,68,47.0,36.18,12.75,23.43,-,-,-,-,25.86,-,76.14,63.0,-
149,臺北市,2008/04/06,陽明,3.4,0.34,401.36,41.7,55,36,27.0,9.46,1.5,7.96,-,-,-,-,19.89,-,82.73,59.0,-
150,臺北市,2008/04/06,士林,4.5,0.74,-,21.9,48,65,41.0,34.43,10.47,23.96,-,-,-,-,25.19,-,74.52,58.0,-
151,臺北市,2008/04/05,松山,5.3,1.31,446.45,26.1,65,79,53.0,63.78,27.14,36.65,2.929,0.518,2.41,-,23.65,-,77.88,81.0,-
152,臺北市,2008/04/05,古亭,4.1,1.2,-,28.3,72,88,58.0,52.85,18.32,34.53,2.533,0.408,2.13,-,23.64,-,81.0,93.0,-
153,臺北市,2008/04/05,中山,5.5,1.54,-,24.2,58,89,62.0,75.7,34.62,41.09,2.886,0.558,2.33,-,26.12,-,69.61,70.0,-
154,臺北市,2008/04/05,萬華,3.7,1.66,-,30.8,77,84,61.0,62.59,27.82,34.77,-,-,-,-,23.77,-,81.64,88.0,-
155,臺北市,2008/04/05,陽明,2.4,0.37,399.04,54.1,74,31,25.0,6.41,1.41,5.0,-,-,-,-,19.19,-,83.07,70.0,-
156,臺北市,2008/04/05,士林,3.3,1.14,-,26.3,66,90,59.0,50.5,16.39,34.12,-,-,-,-,23.26,-,80.53,73.0,-
157,臺北市,2008/04/04,松山,5.0,1.72,448.66,14.0,23,75,51.0,92.83,33.09,59.74,3.518,0.784,2.73,-,20.36,-,86.83,62.0,-
158,臺北市,2008/04/04,古亭,4.4,1.65,-,16.4,32,82,64.0,77.33,23.58,53.74,3.228,0.713,2.52,-,20.27,-,89.82,66.0,-
159,臺北市,2008/04/04,中山,5.1,2.11,-,12.6,21,101,68.0,115.32,50.36,64.96,3.797,0.897,2.9,-,21.7,-,81.04,76.0,-
160,臺北市,2008/04/04,萬華,5.6,1.77,-,20.7,39,82,64.0,70.42,20.58,49.84,-,-,-,-,20.27,-,90.66,66.0,-
161,臺北市,2008/04/04,陽明,1.2,0.37,399.64,47.6,52,19,16.0,4.69,1.34,3.35,-,-,-,-,16.03,-,90.46,47.0,-
162,臺北市,2008/04/04,士林,3.3,1.23,-,28.1,48,67,46.0,59.26,19.32,39.94,-,-,-,-,20.38,-,86.09,58.0,-
163,臺北市,2008/04/03,松山,4.4,0.74,407.7,28.3,48,46,30.0,49.85,8.82,41.02,2.193,0.23,1.96,-,16.35,-,90.17,52.0,-
164,臺北市,2008/04/03,古亭,3.5,0.77,-,35.8,53,46,33.0,41.22,7.76,33.46,2.088,0.187,1.9,-,16.1,-,92.99,59.0,-
165,臺北市,2008/04/03,中山,3.4,0.86,-,35.3,55,53,32.0,43.46,6.79,36.67,2.234,0.243,1.99,-,17.52,-,82.55,60.0,-
166,臺北市,2008/04/03,萬華,5.7,0.78,-,39.2,53,45,33.0,33.76,3.25,30.51,-,-,-,-,16.32,-,92.67,56.0,-
167,臺北市,2008/04/03,陽明,2.4,0.41,399.17,63.3,69,5,6.0,5.31,1.19,4.12,-,-,-,-,10.67,-,90.7,68.0,-
168,臺北市,2008/04/03,士林,2.9,0.54,-,54.6,62,28,18.0,16.43,1.4,15.03,-,-,-,-,16.71,-,82.96,63.0,-
